cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
746546047B,,1,SERVIZIO INTERPRETARIATO A SUPPORTO DELLA COMMISSIONE TERRITORIALE PER IL RICONOSCIMENTO DELLA PROTEZIONE INTERNAZIONALE - 2018,SERVIZIO INTERPRETARIATO A SUPPORTO DELLA COMMISSIONE TERRITORIALE PER IL RICONOSCIMENTO DELLA PROTEZIONE INTERNAZIONALE - 2018,250800.0,250800.0,GENOVA,010025,2018-05-03,AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,80043490103,PREFETTURA DI GENOVA,UFFICIO CONTRATTI,85321000-5,SERVIZI SOCIALI AMMINISTRATIVI,,AGGIUDICATA,certa
7455566FAE,734304693F,1,SERVIZIO DI ACCOGLIENZA CITTADINI STRANIERI MIGRANTI,SERVIZIO DI ACCOGLIENZA CITTADINI STRANIERI MIGRANTI,194112.0,194112.0,LODI,098012,2018-05-15,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,92526810152,PREFETTURA DI LODI,PREFETTO DI LODI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,probabile
7466392597,734304693F,1,SERVIZIO DI ACCOGLIENZA CITTADINI STRANIERI MIGRANTI,SERVIZIO DI ACCOGLIENZA CITTADINI STRANIERI MIGRANTI,147312.0,147312.0,LODI,098048,2018-05-28,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,92526810152,PREFETTURA DI LODI,PREFETTO DI LODI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,probabile
744403218A,,1,PROSECUZIONE TRIENNALE SPRAR IMPERIA 201672017 (D.M. 10.08.2017),PROSECUZIONE TRIENNALE SPRAR IMPERIA 201672017 (D.M. 10.08.2017),1337105.0,1337105.0,,008031,2018-05-09,PROCEDURA APERTA,00089700082,COMUNE DI IMPERIA,SERVIZI SOCIALI,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,,,certa
7421985FC3,7121383F25,1,L.C. S.R.L. - SESTO CAMPANO - CONVENZIONE DEL SERVIZIO DI ACCOGLIENZA NEL TERRITORIO DELLA PROVINCIA DI ISERNIA A FAVORE DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE - ANNO 2018,L.C. S.R.L. - SESTO CAMPANO - CONVENZIONE DEL SERVIZIO DI ACCOGLIENZA NEL TERRITORIO DELLA PROVINCIA DI ISERNIA A FAVORE DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE - ANNO 2018,687447.0,687447.0,ISERNIA,094050,2018-05-17,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80001850942,PREFETTURA DI ISERNIA,PREFETTURA DI ISERNIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
7460526CCE,,1,PROGETTO DI ACCOGLIENZA PRESSO IL COMUNE DI SAN BARTOLOMEO IN GALDO IN SENO ALLO SPRAR INDIVIDUAZIONE SOGGETTO ATTUATORE,PROGETTO DI ACCOGLIENZA PRESSO IL COMUNE DI SAN BARTOLOMEO IN GALDO IN SENO ALLO SPRAR INDIVIDUAZIONE SOGGETTO ATTUATORE,959417.5,959417.5,,062057,2018-05-29,PROCEDURA APERTA,12236141003,ASMEL CONSORTILE SOC. CONS. A R.L.,COMUNE DI SAN BARTOLOMEO IN GALDO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,certa
7465002A85,,1,ACCOGLIENZA MINORI STRANIERI NON ACCOMPAGNATI,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,49995.0,49995.0,REGGIO CALABRIA,080061,2018-05-24,AFFIDAMENTO DIRETTO,00232920801,COMUNE DI POLISTENA,RIPARTIZIONE AFFARI GENERALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,,AGGIUDICATA,certa
7478639024,,1,PROCEDURA APERTA AI FINI DELL'AGGIUDICAZIONE CON IL CRITERIO DELLOFFERTA PIÙ VANTAGGIOSA PER LINDIVIDUAZIONE DEL SOGGETTO ATTUATORE DEL PROGETTO SPRAR (SERVIZIO PER RICHIEDENTI ASILO E RIFUGIATI) PERIODO 01/07/2018 01/07/2019 CATEGORIA ORDINARI 'NUCLEI FAMILIARI' PER 43 POSTI A VALERE SUI FINANZIAMENTI DI CUI AL DECRETO DEL MINISTERO DELL'INTERNO DEL 10 AGOSTO 2016 - APPROVAZIONE GARA TELEMATICA MEDIANTE PROCEDURA APERTA TRAMITE SISTEMA MEPA (R.D.O.),PROCEDURA APERTA AI FINI DELL'AGGIUDICAZIONE CON IL CRITERIO DELLOFFERTA PIÙ VANTAGGIOSA PER LINDIVIDUAZIONE DEL SOGGETTO ATTUATORE DEL PROGETTO SPRAR (SERVIZIO PER RICHIEDENTI ASILO E RIFUGIATI) PERIODO 01/07/2018 01/07/2019 CATEGORIA ORDINARI 'NUCLEI FAMILIARI' PER 43 POSTI A VALERE SUI FINANZIAMENTI DI CUI AL DECRETO DEL MINISTERO DELL'INTERNO DEL 10 AGOSTO 2016 - APPROVAZIONE GARA TELEMATICA MEDIANTE PROCEDURA APERTA TRAMITE SISTEMA MEPA (R.D.O.),578203.0,578203.0,,075038,2018-05-09,PROCEDURA APERTA,80010200758,COMUNE DI LIZZANELLO,SERVIZIO ECONOMICO FINANZIARIO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,certa
7505899FC9,,1,CONVENZIONE PER AFFIDAMENTO SERVIZIO DI ACCOGLIENZA E ASSISTENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE PROVINCIA DI SIRACUSA,CONVENZIONE PER AFFIDAMENTO SERVIZIO DI ACCOGLIENZA E ASSISTENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE PROVINCIA DI SIRACUSA,414000.0,414000.0,,089017,2018-05-25,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,80002930891,UFFICIO TERRITORIALE DEL GOVERNO DI SIRACUSA,SERVIZIO CONTABILITA' E GESTIONE FINANZIARIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,certa
7498619826,,1,INDIVIDUAZIONE SOGGETTO ATTUATORE PROSECUZIONE PROGETTO SPRAR N. 45,INDIVIDUAZIONE SOGGETTO ATTUATORE PROSECUZIONE PROGETTO SPRAR N. 45,785615.0,785615.0,,082064,2018-05-29,PROCEDURA APERTA,80025760820,COMUNE DI S. GIUSEPPE JATO,SETTORE AFFARI GENERALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,certa
