cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
A0008E2562,,1,GESTIONE CENTRI DI ACCOGLIENZA RICHIEDENTI PROTEZIONE INTERNAZIONALE,GESTIONE CENTRI DI ACCOGLIENZA RICHIEDENTI PROTEZIONE INTERNAZIONALE,27600.0,27600.0,TORINO,001272,2023-08-01,AFFIDAMENTO DIRETTO,80015510045,PREFETTURA DI CUNEO,UTG CUNEO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,123.0,AGGIUDICATA,certa
A0056CE2FF,,1,SERVIZIO DI ACCOGLIENZA RICHIEDENTI ASILO IN SAN MICHELE MONDOVI,SERVIZIO DI ACCOGLIENZA RICHIEDENTI ASILO IN SAN MICHELE MONDOVI,60120.0,60120.0,,,2023-08-17,AFFIDAMENTO DIRETTO,80015510045,PREFETTURA DI CUNEO,UTG CUNEO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,75.0,AGGIUDICATA,certa
A0041765F5,899196436F,1,RINNOVO CONVENZIONE ACCOGLIENZA MIGRANTI ATI ESCULAPIO/HUMANITY CAS GUGLIONESI,RINNOVO CONVENZIONE ACCOGLIENZA MIGRANTI ATI ESCULAPIO/HUMANITY CAS GUGLIONESI,497451.52,497451.52,CAMPOBASSO,070029,2023-08-10,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80003130707,PREFETTURA DI CAMPOBASSO UFFICIO TERRITORIALE DEL GOVERNO,PREFETTURA-UTG CAMPOBASSO,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,365.0,,probabile
99986857E1,,1,"PROGETTO RETE SAI REALMONTE, PROG-681-PR-3, TRIENNIO 2023-2025","PROGETTO RETE SAI REALMONTE, PROG-681-PR-3, TRIENNIO 2023-2025",1346850.0,1346850.0,AGRIGENTO,084032,2023-08-04,PROCEDURA APERTA,80003310846,COMUNE DI REALMONTE,SETTORE 1 AFFARI GENERALI,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,1096.0,,certa
A00215634D,,1,"ALLESTIMENTO DI UNA STRUTTURA DI PRIMISSIMA ACCOGLIENZA PER 180 MINORI STRANIERI NON ACCOMPAGNATI DI GENERE MASCHILE, PRESSO IL COMUNE DI ROSOLINI, IN VIA DOMENICO MARINA N. 1.","ALLESTIMENTO DI UNA STRUTTURA DI PRIMISSIMA ACCOGLIENZA PER 180 MINORI STRANIERI NON ACCOMPAGNATI DI GENERE MASCHILE, PRESSO IL COMUNE DI ROSOLINI, IN VIA DOMENICO MARINA N. 1.",159800.0,159800.0,SIRACUSA,089016,2023-08-04,AFFIDAMENTO DIRETTO,80012000826,REGIONE SICILIANA,SERVIZIO S.13 SIRACUSA,42512000-8,IMPIANTI DI CONDIZIONAMENTO DELL'ARIA,10.0,AGGIUDICATA,certa
A008904274,,1,SERVIZI DI ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE PRESSO SINGOLE UNITÀ ABITATIVE FINO A 50 POSTI,SERVIZI DI ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE PRESSO SINGOLE UNITÀ ABITATIVE FINO A 50 POSTI,238083.5,238083.5,MILANO,015146,2023-08-29,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,80101710152,PREFETTURA DI MILANO,SASGAC,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,182.0,,certa
A00392590C,,1,AFFIDAMENTO SERVIZIO DI ACCOGLIENZA MSNA CROCE BIANCA (SECONDO CONTRATTO),AFFIDAMENTO SERVIZIO DI ACCOGLIENZA MSNA CROCE BIANCA (SECONDO CONTRATTO),645624.0,645624.0,GENOVA,010025,2023-08-11,AFFIDAMENTO DIRETTO,80043490103,PREFETTURA DI GENOVA,UFFICIO CONTRATTI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,184.0,,certa
A005E7DA35,,1,OSPITALITA' PROFUGHI UCRAINI PRESSO STRUTTURA TEMPORANEA DROSSO IN TORINO DAL 25/8/2023,OSPITALITA' PROFUGHI UCRAINI PRESSO STRUTTURA TEMPORANEA DROSSO IN TORINO DAL 25/8/2023,214900.0,214900.0,TORINO,001272,2023-08-25,AFFIDAMENTO DIRETTO,80087670016,REGIONE PIEMONTE,A1821A PROTEZIONE CIVILE,55110000-4,SERVIZI DI SISTEMAZIONE ALBERGHIERA,25.0,AGGIUDICATA,certa
99904636DF,,1,ACCOGLIENZA DI MINORI STRANIERI NON ACCOMPAGNATI PRESSO COMUNITÀ EDUCATIVA PER MINORI SANTA LUCIA - LUGLIO-AGOSTO 2023,ACCOGLIENZA DI MINORI STRANIERI NON ACCOMPAGNATI PRESSO COMUNITÀ EDUCATIVA PER MINORI SANTA LUCIA - LUGLIO-SETTEMBRE 2023,112000.0,112000.0,NOVARA,003106,2023-08-02,AFFIDAMENTO DIRETTO,00125680033,COMUNE DI NOVARA,SERVIZIO SERVIZI POLITICHE SOCIALI E DELLA CASA,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,62.0,,certa
A00298C9EB,,1,"COMPLETAMENTO LAVORI NON ULTIMATI CENTRO ACCOGLIENZA DA DESTINARE A PROFUGHI IN FUGA DALLE GUERRE (NUCLEIFAMILIARI, DONNE,BAMBINI)","COMPLETAMENTO LAVORI NON ULTIMATI CENTRO ACCOGLIENZA DA DESTINARE A PROFUGHI IN FUGA DALLE GUERRE (NUCLEIFAMILIARI, DONNE,BAMBINI)",60950.99,60950.99,CROTONE,101027,2023-08-09,AFFIDAMENTO DIRETTO,81004430799,COMUNE DI VERZINO,UFFICIO TECNICO COMUNALE,45454000-4,LAVORI DI RISTRUTTURAZIONE,180.0,AGGIUDICATA,certa
