cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
8938794E26,,1,"INTERVENTI DI ACCOGLIMENTO DI MINORI STRANIERI NON ACCOMPAGNATI. PROSECUZIONE DEI SERVIZI DI ACCOGLIENZA ORDINARIA E NEOMAGGIORENNI FINO AL 31/12/2021. AGGIORNAMENTO DELLE STRUTTURE NON CONVENZIONATE UTILIZZATE PER L'ANNO 2021. SIRIO SOC. COOP. SOCIALE, VIA MONTEGRAPPA N. 50, CAMPOBASSO",Oggetto non pubblicabile a causa della potenziale presenza di dati personali,58000.0,58000.0,,032006,2021-07-29,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,00210240321,COMUNE DI TRIESTE,SERVIZIO SOCIALE COMUNALE,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,153.0,,certa
889769957E,,1,"INTERVENTI DI ACCOGLIMENTO DI MINORI STRANIERI NON ACCOMPAGNATI. PROSECUZIONE DEI SERVIZI DI ACCOGLIENZA ORDINARIA E NEOMAGGIORENNI FINO AL 31/12/2021. AGGIORNAMENTO DELLE STRUTTURE NON CONVENZIONATE UTILIZZATE PER L'ANNO 2021. ASSOCIAZIONE NAZIONALE ODISSEA ONLUS, VIA MURANO N. 22, RICCIONE (RN)",Oggetto non pubblicabile a causa della potenziale presenza di dati personali,118770.0,118770.0,,032006,2021-07-29,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,00210240321,COMUNE DI TRIESTE,SERVIZIO SOCIALE COMUNALE,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,153.0,,certa
8838009BBD,,1,PROCEDURA APERTA PER L'AFFIDAMENTO DEL SERVIZIO DI GESTIONE E ORGANIZZAZIONE DEI SERVIZI DI ACCOGLIENZA DI RICHIEDENTI/TITOLARI DI PROTEZIONE INTERNAZIONALE NELL'AMBITO DEL SISTEMA DI PROTEZIONE PER RICHIEDENTI ASILO E RIFUGIATI SPRAR/SIPROIMI TRIENNIO2021/2023 CAT. DM/DS,PROCEDURA APERTA PER L'AFFIDAMENTO DEL SERVIZIO DI GESTIONE E ORGANIZZAZIONE DEI SERVIZI DI ACCOGLIENZA DI RICHIEDENTI/TITOLARI DI PROTEZIONE INTERNAZIONALE NELL'AMBITO DEL SISTEMA DI PROTEZIONE PER RICHIEDENTI ASILO E RIFUGIATI SPRAR/SIPROIMI TRIENNIO2021/2023 CAT. DM/DS,1238392.86,1238392.86,,071009,2021-07-23,PROCEDURA APERTA,CFAVCP-0000507,S.U.A. MONTI DAUNI,COMUNE DI CANDELA,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,1095.0,,certa
8754836F34,,1,SERVIZIO ACCOGLIENZA RICHIEDENTI ASILO PRESSO STRUTTURE ABITATIVE PER 400 POSTI,SERVIZIO ACCOGLIENZA RICHIEDENTI ASILO PRESSO STRUTTURE ABITATIVE PER 400 POSTI,14266536,14266536,,,2021-07-02,PROCEDURA APERTA,80003940451,PREFETTURA DI MASSA CARRARA UFFICIO TERRITORIALE DEL GOVERNO,SERVIZI GENERALI E ATTIVITA' CONTRATTUALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,730.0,AGGIUDICATA,certa
8855904B29,,1,SERVIZIO DI ACCOGLIENZA DI MSNA PROCEDURA NEGOZIATA ,SERVIZIO DI ACCOGLIENZA DI MSNA PROCEDURA NEGOZIATA ,203577.6,203577.6,,,2021-07-30,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,80002330621,PREFETTURA UFFICIO TERRITORIALE DEL GOVERNO DI BN,PREFETTURA UTG DI BENEVENTO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,92.0,,certa
8843108B91,,1,2021 SERVIZIO DI ACCOGLIENZA MINORI STRANIERI NON ACCOMPAGNATI - CIG 8843108B91,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,26320.0,26320.0,,030023,2021-07-21,AFFIDAMENTO DIRETTO,81000730309,COMUNE DI CERVIGNANO DEL FRIULI,SERVIZIO SOCIALE DEI COMUNI DELL'AMBITO 5.1 E COMUNALE,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,122.0,,certa
8903457525,,1,"INTERVENTI DI ACCOGLIMENTO DI MINORI STRANIERI NON ACCOMPAGNATI. PROSECUZIONE DEI SERVIZI DI ACCOGLIENZA ORDINARIA E NEOMAGGIORENNI FINO AL 31/12/2021. AGGIORNAMENTO DELLE STRUTTURE NON CONVENZIONATE UTILIZZATE PER L'ANNO 2021. IMPRESA A RETE SOCIETA' COOPERATIVA SOCIALE ONLUS, VIA XXX APRILE 9, PORDENONE",Oggetto non pubblicabile a causa della potenziale presenza di dati personali,222000.0,222000.0,,032006,2021-07-29,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,00210240321,COMUNE DI TRIESTE,SERVIZIO SOCIALE COMUNALE,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,153.0,,certa
8848616CE9,834927360A,1,LOTTO 2 CAS IMMIGRATI CAPIENZA MAX 50 POSTI,LOTTO 2 CAS IMMIGRATI CAPIENZA MAX 50 POSTI,400247.9,400247.9,,079023,2021-07-26,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80001680794,PREFETTURA DI CATANZARO,UFFICI PERIFERICI DELL'AMMINISTRAZIONE DELLA PUBBLICA SICUREZZA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,365.0,,probabile
88424783AF,,1,2021 SERVIZIO ACCOGLIENZA MINORI STRANIERI NON ACCOMPAGNATI - CIG 88424783AF,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,6000.0,6000.0,,030023,2021-07-21,AFFIDAMENTO DIRETTO,81000730309,COMUNE DI CERVIGNANO DEL FRIULI,SERVIZIO SOCIALE DEI COMUNI DELL'AMBITO 5.1 E COMUNALE,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,75.0,,certa
8811684FA8,,1,INDIVIDUAZIONE DEL SOGGETTO ATTUATORE DEGLI INTERVENTI PREVISTI DAL PROGETTO SIPROIMI EX SPRAR (SERVIZIO PER RICHIEDENTI ASILO E RIFUGIATI) PER IL TRIENNIO 2021/2023 (CATEGORIA ORDINARI). ,INDIVIDUAZIONE DEL SOGGETTO ATTUATORE DEGLI INTERVENTI PREVISTI DAL PROGETTO SIPROIMI EX SPRAR (SERVIZIO PER RICHIEDENTI ASILO E RIFUGIATI) PER IL TRIENNIO 2021/2023 (CATEGORIA ORDINARI). ,281052.97,281052.97,BARI,072044,2021-07-02,PROCEDURA APERTA,80006460721,COMUNE DI TORITTO,AFFARI GENERALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,certa
