cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
74696348F8,,2,RIPETIZIONE SERVIZIO ANALOGO ACCOGLIENZA IMMIGRATI PERIODO MAGGIO - DICEMBRE 2018,RIPETIZIONE SERVIZIO ANALOGO PRIMA ACCOGLIENZA IMMIGRATI PERIODO MAGGIO - DICEMBRE 2018,426606.25,638837.5,VITERBO,056053,2018-04-30,PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI),80016510564,PREFETTURA DI VITERBO-UFFICIO TERRITORIALE DEL GOVERNO-,UFFICIO ECONOMICO FINANZIARIO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,probabile
75424789BD,73352095F4,1,"SERVIZIO DI ACCOGLIENZA INTEGRATA PER I RICHIEDENTI ED I BENEFICIARI DI PROTEZIONE INTERNAZIONALE E PER I TITOLARI DI PERMESSO UMANITARIO DI CUI ALL'ART. 32 DEL D. LGS. 25/2008, SINGOLI O CON IL RISPETTIVO NUCLEO FAMILIARE, PROGETTO SPRAR PER NR. 30 POSTI","SERVIZIO DI ACCOGLIENZA INTEGRATA PER I RICHIEDENTI ED I BENEFICIARI DI PROTEZIONE INTERNAZIONALE E PER I TITOLARI DI PERMESSO UMANITARIO DI CUI ALL'ART. 32 DEL D. LGS. 25/2008, SINGOLI O CON IL RISPETTIVO NUCLEO FAMILIARE, PROGETTO SPRAR PER NR. 30 POSTI",1284000.0,1284000.0,PISTOIA,047012,2018-04-11,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,91025730473,SOCIETA DELLA SALUTE DELLA VALDINIEVOLE,GESTIONE ECONOMICA E FINANZIARIA,85320000-8,SERVIZI SOCIALI,,AGGIUDICATA,certa
7460242274,,1,SERVIZIO DI INTERPRETARIATO PER LA COMMISSIONE RICHIEDENTI PROTEZIONE INTERNAZIONALE DI PERUGIA - PERIODO DAL1.6.2018 AL 31.12.2018 ,SERVIZIO DI INTERPRETARIATO PER LA COMMISSIONE RICHIEDENTI PROTEZIONE INTERNAZIONALE DI PERUGIA - PERIODO DAL1.6.2018 AL 31.12.2018,63616.84,63616.84,,054039,2018-04-23,PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE UNA GARA,80013260544,PREFETTURA DI PERUGIA,PREFETTURA - UTG PERUGIA,80590000-6,SERVIZI DI TUTORATO,,,certa
7440799594,,1,"RINNOVO AFFIDAMENTO DIRETTO A CROCE ROSSA ITALIANA COMITATO PROVINCIALE DI TRENTO, AI SENSI DELL'ARTICOLO 1, COMMA 6 DEL D.LGS. 28 SETTEMBRE 2012, N. 178, DEL SERVIZIO DI ASSISTENZA SOCIO SANITARIA DEI RICHIEDENTI PROTEZIONE INTERNAZIONALE, CHE IL MINISTERO DELL'INTERNO HA DESTINATO AL TRENTINO, DA SVOLGERSI PRESSO VARIE RESIDENZE COLLETTIVE DOVE SONO OSPITATI GLI STESSI.","RINNOVO AFFIDAMENTO DIRETTO A CROCE ROSSA ITALIANA COMITATO PROVINCIALE DI TRENTO, AI SENSI DELL'ARTICOLO 1, COMMA 6 DEL D.LGS. 28 SETTEMBRE 2012, N. 178, DEL SERVIZIO DI ASSISTENZA SOCIO SANITARIA DEI RICHIEDENTI PROTEZIONE INTERNAZIONALE, CHE IL MINISTERO DELL'INTERNO HA DESTINATO AL TRENTINO, DA SVOLGERSI PRESSO VARIE RESIDENZE COLLETTIVE DOVE SONO OSPITATI GLI STESSI.",249516.0,249516.0,TRENTO,022205,2018-04-10,PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI),00337460224,PROVINCIA AUTONOMA DI TRENTO,CINFORMI,85140000-2,VARI SERVIZI SANITARI,,AGGIUDICATA,certa
74362679A6,7352252648,1,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI ANNO 2018 - KOALA SOC. COOP. SOCIALE,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI ANNO 2018 - KOALA SOC. COOP. SOCIALE,171360.0,171360.0,CREMONA,019036,2018-04-18,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80007700190,PREFETTURA DI CREMONA,SERVIZIO CONTABILITA' E GESTIONE FINANZIARIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,probabile
7468465449,,1,AFFIDAMENTO SERVIZIO ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALEE GESTIONE SERVIZI CONNESSI,AFFIDAMENTO SERVIZIO ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALEE GESTIONE SERVIZI CONNESSI,85298.67,85298.67,,002158,2018-04-27,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,80009220023,PREFETTURA DI VERCELLI,AREA ECONOMICO FINANZIARIA - PREFETTURA - UTG,85320000-8,SERVIZI SOCIALI,,AGGIUDICATA,certa
74386231E4,,1,INTERVENTI DI ACCOGLIENZA INTEGRATA ATTIVI E FINANZIATI CON IL PROGETTO INSERITO NEL SISTEMA DI PROTEZIONE (SPRAR) ,INTERVENTI DI ACCOGLIENZA INTEGRATA ATTIVI E FINANZIATI CON IL PROGETTO INSERITO NEL SISTEMA DI PROTEZIONE (SPRAR),676799.18,676799.18,,,2018-04-27,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,80009070733,COMUNE DI MANDURIA,SERVIZI SOCIALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
74947027BD,,1,ACCOGLIENZA MIGRANTI STRUTTURE GIRASOLI,ACCOGLIENZA MIGRANTI STRUTTURE GIRASOLI,144240.0,144240.0,,,2018-04-24,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,80101710152,PREFETTURA DI MILANO,SASGAC,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,probabile
7451649F45,,6,"PROCEDURA APERTA FINALIZZATA ALLA CONCLUSIONE DI UN ACCORDO QUADRO AI SENSI DELL'ART. 54, COMMA 4, LETTERA A) DEL D.LGS. 50/2016 SS.MM. PER LA REALIZZAZIONE DI SERVIZI DI ACCOGLIENZA, INTEGRAZIONE E TUTELA RIENTRANTI NEL SISTEMA DI PROTEZIONE PER RICHIEDENTI ASILO E RIFUGIATI (S.P.R.A.R.)","ACCORDO QUADRO PER LA REALIZZAZIONE DI SERVIZI DI ACCOGLIENZA, INTEGRAZIONE E TUTELA RIENTRANTI NEL SISTEMA DI PROTEZIONE PER RICHIEDENTI ASILO E RIFUGIATI (S.P.R.A.R.) - LOTTO N. 4 IMOLA FRAZIONI - NO SPAZZATE SASSATELLI",789120.0,4826984.0,,,2018-04-18,PROCEDURA APERTA,90036770379,NUOVO CIRCONDARIO IMOLESE,CENTRALE UNICA DI COMMITTENZA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
74278339B1,,1,STIPULA ACCORDO QUADRO CON UNA PLURALITA' DI OPERATORI ECONOMICI PER L'AFFIDAMENTO DELLA GESTIONE DEI SERVIZI DI ACCOGLIENZA DI CITTADINI STRANIERI TEMPORANEAMENTE PRESENTI SUL TERRITORIO DELL'UNIONE RUBICONE E MARE,STIPULA ACCORDO QUADRO CON UNA PLURALITA' DI OPERATORI ECONOMICI PER L'AFFIDAMENTO DELLA GESTIONE DEI SERVIZI DI ACCOGLIENZA DI CITTADINI STRANIERI TEMPORANEAMENTE PRESENTI SUL TERRITORIO DELL'UNIONE RUBICONE E MARE,8316000.0,8316000.0,,,2018-04-16,PROCEDURA APERTA,03729940407,AZIENDA PUBBLICA SERVIZI ALLA PERSONA ASP DEL RUBICONE,ASP DEL RUBICONE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,probabile
