cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
9450190F7A,8700527E00,1,SERVIZIO DI ACCOGLIENZA RICHIEDENTI ASILO ,SERVIZIO DI ACCOGLIENZA RICHIEDENTI ASILO ,1224531.2,1224531.2,TORINO,001272,2022-10-17,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80089610010,PREFETTURA-UFFICIO TERRITORIALE DEL GOVERNO DI TORINO,SERVIZIO 1,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,365.0,,certa
9428627D21,,1,"INDIVIDUAZIONE DI UN SOGGETTO ATTUATORE PER L'AMPLIAMENTO DI N. 92 POSTI DEL PROG-664-PR-2 INTERVENTI DI ACCOGLIENZA INTEGRATA ATTIVI E FINANZIATI SUL FNPSA, PER TITOLARI DI PROTEZIONE INTERNAZIONALE CON NECESSITÀ DI ASSISTENZA SANITARIA, SOCIALE E DOMICILIARE, SPECIALISTICA E/O PROLUNGATA E/O CON DISAGIO MENTALE E/O PSICOLOGICO, PER L'ANNUALITÀ 2022 (CATEGORIA DM-DS), AI SENSI DELL'ART.10 DELLE LINEE GUIDA APPROVATE CON D.M. 18/11/2019. ","INDIVIDUAZIONE DI UN SOGGETTO ATTUATORE PER L'AMPLIAMENTO DI N. 92 POSTI DEL PROG-664-PR-2 INTERVENTI DI ACCOGLIENZA INTEGRATA ATTIVI E FINANZIATI SUL FNPSA, PER TITOLARI DI PROTEZIONE INTERNAZIONALE CON NECESSITÀ DI ASSISTENZA SANITARIA, SOCIALE E DOMICILIARE, SPECIALISTICA E/O PROLUNGATA E/O CON DISAGIO MENTALE E/O PSICOLOGICO, PER L'ANNUALITÀ 2022 (CATEGORIA DM-DS), AI SENSI DELL'ART.10 DELLE LINEE GUIDA APPROVATE CON D.M. 18/11/2019.",224691.17,224691.17,AGRIGENTO,084001,2022-10-27,PROCEDURA APERTA,00074260845,COMUNE DI AGRIGENTO,UFFICIO SERVIZIO SOCIALE,85320000-8,SERVIZI SOCIALI,60.0,,certa
9450191052,8700527E00,1,SERVIZIO DI ACCOGLIENZA RICHIEDENTI ASILO ,SERVIZIO DI ACCOGLIENZA RICHIEDENTI ASILO ,994931.6,994931.6,TORINO,001272,2022-10-17,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80089610010,PREFETTURA-UFFICIO TERRITORIALE DEL GOVERNO DI TORINO,SERVIZIO 1,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,365.0,,certa
9428982219,,1,OSPITALITA' PROFUGHI UCRAINI PRESSO STRUTTURA ACCOGLIENZA TEMPORANEA DROSSO IN TORINO DAL 13/10/2022,OSPITALITA' PROFUGHI UCRAINI PRESSO STRUTTURA ACCOGLIENZA TEMPORANEA DROSSO IN TORINO DAL 13/10/2022,214900.0,214900.0,TORINO,001272,2022-10-04,AFFIDAMENTO DIRETTO,80087670016,REGIONE PIEMONTE,A1821A PROTEZIONE CIVILE,55110000-4,SERVIZI DI SISTEMAZIONE ALBERGHIERA,25.0,AGGIUDICATA,certa
942669961A,713939926F,5,PROROGA DEL CONTRATTO PER L'AFFIDAMENTO DEL SERVIZIO DI GESTIONE DI CENTRI DI ACCOGLIENZA COSTITUITI DA SINGOLE UNITÀ ABITATIVE,"PROROGA ACCORDO QUADRO CON PIÙ OPERATORI ECONOMICI VOLTO AD ASSICURARE I SERVIZI DI ACCOGLIENZA E SERVIZI CONNESSI AI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE, NELLA PROVINCIA DI MODENA-CEIS",305236.8,5650349.4,MODENA,036023,2022-10-01,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80001270364,PREFETTURA U.T.G. DI MODENA,SERVIZIO CONTABILITA E GESTIONE FINANZIARIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,123.0,,certa
9465215E80,8705603ADA,1,CONVENZIONE ANNUALE SERVIZIO ACCOGLIENZA MIGRANTI 2022-2023 SOCIETÀ COOP. SOCIALE EMERGENCY TRANSPORT POBIC ONLUS ,CONVENZIONE ANNUALE SERVIZIO ACCOGLIENZA MIGRANTI 2022-2023 SOCIETÀ COOP. SOCIALE EMERGENCY TRANSPORT POBIC ONLUS ,374428.5,374428.5,CREMONA,019036,2022-10-20,CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80007700190,PREFETTURA DI CREMONA,SERVIZIO CONTABILITA' E GESTIONE FINANZIARIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,365.0,AGGIUDICATA,probabile
9418132863,91165574D4,1,SERVIZIO ACCOGLIENZA MIGRANTI PRIMO ANNO VALIDITÀ ACCORDO QUADRO DAL 1^ NOVEMBRE 2022 AL 31 OTTOBRE 2023 (COOPERATIVA LA CITTÀ DEL SOLE ONLUS),SERVIZIO ACCOGLIENZA MIGRANTI PRIMO ANNO VALIDITÀ ACCORDO QUADRO DAL 1^ NOVEMBRE 2022 AL 31 OTTOBRE 2023 (COOPERATIVA LA CITTÀ DEL SOLE ONLUS),2133353.83,2133353.83,AREZZO,051002,2022-10-28,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80010180513,PREFETTURA DI AREZZO,UFFICIO TERRITORIALE DEL GOVERNO DI AREZZO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,365.0,AGGIUDICATA,probabile
94653161DD,8709661F9D,1,CONVENZIONE ANNUALE SERVIZIO ACCOGLIENZA MIGRANTI 2022-2023 SERVIZI PER L'ACCOGLIENZA SOCIETÀ COOP. SOCIALE,CONVENZIONE ANNUALE SERVIZIO ACCOGLIENZA MIGRANTI 2022-2023 SERVIZI PER L'ACCOGLIENZA SOCIETÀ COOP. SOCIALE,1920382.8,1920382.8,CREMONA,019036,2022-10-27,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80007700190,PREFETTURA DI CREMONA,SERVIZIO CONTABILITA' E GESTIONE FINANZIARIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,365.0,AGGIUDICATA,probabile
946518883A,8705603ADA,1,CONVENZIONE ANNUALE SERVIZIO ACCOGLIENZA MIGRANTI 2022-2023 ASSOCIAZIONE STELLA POLARE ,CONVENZIONE ANNUALE SERVIZIO ACCOGLIENZA MIGRANTI 2022-2023 ASSOCIAZIONE STELLA POLARE ,694923.23,694923.23,CREMONA,019036,2022-10-20,CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80007700190,PREFETTURA DI CREMONA,SERVIZIO CONTABILITA' E GESTIONE FINANZIARIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,365.0,AGGIUDICATA,probabile
942667524D,713939926F,5,PROROGA DEL CONTRATTO PER L'AFFIDAMENTO DEL SERVIZIO DI GESTIONE DI CENTRI DI ACCOGLIENZA COSTITUITI DA SINGOLE UNITÀ ABITATIVE,"PROROGA ACCORDO QUADRO CON PIÙ OPERATORI ECONOMICI VOLTO AD ASSICURARE I SERVIZI DI ACCOGLIENZA E SERVIZI CONNESSI AI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE, NELLA PROVINCIA DI MODENA-PAPA GIOVANNI",346860.0,5650349.4,MODENA,036023,2022-10-01,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80001270364,PREFETTURA U.T.G. DI MODENA,SERVIZIO CONTABILITA E GESTIONE FINANZIARIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,123.0,,certa
9450203A36,870076633E,1,SERVIZIO DI ACCOGLIENZA RICHIEDENTI ASILO ,SERVIZIO DI ACCOGLIENZA RICHIEDENTI ASILO ,1062095.25,1062095.25,TORINO,001272,2022-10-17,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80089610010,PREFETTURA-UFFICIO TERRITORIALE DEL GOVERNO DI TORINO,SERVIZIO 1,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,365.0,,certa
94322445FB,,1,ATTIVITA' DEL PROGETTO SAI MSNA DEL COMUNE DI LUCCA - PROGETTO PER L'ACCOGLIENZA E L'INTEGRAZIONE DI MINORI STRANIERI NON ACCOMPAGNATI,ATTIVITA' DEL PROGETTO SAI MSNA DEL COMUNE DI LUCCA - PROGETTO PER L'ACCOGLIENZA E L'INTEGRAZIONE DI MINORI STRANIERI NON ACCOMPAGNATI,1088640.0,1088640.0,LUCCA,046017,2022-10-06,PROCEDURA APERTA,00378210462,COMUNE DI LUCCA,STAZIONE UNICA APPALTANTE,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,974.0,AGGIUDICATA,certa
9450184A88,8700527E00,1,SERVIZIO DI ACCOGLIENZA RICHIEDENTI ASILO ,SERVIZIO DI ACCOGLIENZA RICHIEDENTI ASILO ,446584.5,446584.5,TORINO,001272,2022-10-17,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80089610010,PREFETTURA-UFFICIO TERRITORIALE DEL GOVERNO DI TORINO,SERVIZIO 1,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,365.0,,certa
A0183EAEB6,,1,PROGETTO SAI EX SIPROIMI/SPRAR 2021/2023 CATEGORIA DEI BENEFICIARI ORDINARI COMUNE DI TORITTO. AMPLIAMENTO PROGETTO SAI PROG. 212 PR 3,PROGETTO SAI EX SIPROIMI/SPRAR 2021/2023 CATEGORIA DEI BENEFICIARI 'ORDINARI' COMUNE DI TORITTO. AMPLIAMENTO PROGETTO SAI PROG. 212 PR 3,250836.7,250836.7,BARI,072044,2022-10-01,AFFIDAMENTO DIRETTO,80006460721,COMUNE DI TORITTO,AFFARI GENERALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,365.0,AGGIUDICATA,certa
9428336CFD,,1,"AFFIDAMENTO DIRETTO AI SENSI DELL'ART. 36, C. 2, LETT. A) DEL D.LGS. 50/2016, MODIFICATO DALL'ART. 51, C. 1, LETT. A), PUNTO 2.1. DEL D.L. N. 77/2021 CONVERTITO IN LEGGE N. 108/2021 A FAVORE DI PROGRAMMA INTEGRA SOCIETÀ COOPERATIVA SOCIALE - CF 08605861007, PER L'ATTUAZIONE DI INTERVENTI STRAORDINARI DI ACCOGLIENZA INTEGRATA IN FAVORE DI RICHIEDENTI E TITOLARI DI PROTEZIONE INTERNAZIONALE,OVVERO PER GESTIONE DELLE ATTIVITÀ ISTRUTTORIE DELLE AZIONI A E C PER COD. PROG. 660, PROGETTO OTTO PER MILLE SOTTO SOGLIA COMUNITARIA EX ART. 63 C. 6 DEL D. LGS. 50/2016, (ANNUALITÀ 2016 ANCI), CUPJ81B21007660005 - PER UN IMPORTO PARI A SERVIZIO ? 26.650 (IMPONIBILE ? 25.380.95 + ? 1.269.05 IVA AL 5%)CONTRIBUTI ? 66.917.23 - CIG 9428336CFD - PERIODO DI AFFIDAMENTO 01/11/22 - 30/03/23","AFFIDAMENTO DIRETTO AI SENSI DELL'ART. 36, C. 2, LETT. A) DEL D.LGS. 50/2016, MODIFICATO DALL'ART. 51, C. 1, LETT. A), PUNTO 2.1. DEL D.L. N. 77/2021 CONVERTITO IN LEGGE N. 108/2021 A FAVORE DI PROGRAMMA INTEGRA SOCIETÀ COOPERATIVA SOCIALE - CF 08605861007, PER L'ATTUAZIONE DI INTERVENTI STRAORDINARI DI ACCOGLIENZA INTEGRATA IN FAVORE DI RICHIEDENTI E TITOLARI DI PROTEZIONE INTERNAZIONALE,OVVERO PER GESTIONE DELLE ATTIVITÀ ISTRUTTORIE DELLE AZIONI A E C PER COD. PROG. 660, PROGETTO OTTO PER MILLE SOTTO SOGLIA COMUNITARIA EX ART. 63 C. 6 DEL D. LGS. 50/2016, (ANNUALITÀ 2016 ANCI), CUPJ81B21007660005 - PER UN IMPORTO PARI A SERVIZIO ? 26.650 (IMPONIBILE ? 25.380.95 + ? 1.269.05 IVA AL 5%)CONTRIBUTI ? 66.917.23 - CIG 9428336CFD - PERIODO DI AFFIDAMENTO 01/11/22 - 30/03/23",92298.18,92298.18,ROMA,058091,2022-10-26,AFFIDAMENTO DIRETTO,02438750586,ROMA CAPITALE,DIPARTIMENTO POLITICHE SOCIALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,180.0,AGGIUDICATA,certa
