cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
8301957FA1,7173760606,1,SERVIZI TEMPORANEA ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INT.LE ANNO 2020,SERVIZI TEMPORANEA ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INT.LE ANNO 2020,85000.0,85000.0,,029041,2020-05-25,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80006550299,PREFETTURA DI ROVIGO,SERVIZI GENERALI E ATTIVITA CONTRATTURALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,certa
8327436195,,1,CONVENZIONE PER LA MESSA A DISPOSIZIONE DI POSTI PER LA PRIMA ACCOGLIENZA DI N. 95 CITTADINI STRANIERI PRESENTI SUL TERRITORIO PROVINCIALE IN ISOLAMENTO SANITARIO CON SORVEGLIANZA ATTIVA,CONVENZIONE PER LA MESSA A DISPOSIZIONE DI POSTI PER LA PRIMA ACCOGLIENZA DI N. 95 CITTADINI STRANIERI PRESENTI SUL TERRITORIO PROVINCIALE IN ISOLAMENTO SANITARIO CON SORVEGLIANZA ATTIVA,70822.0,70822.0,,089017,2020-05-31,AFFIDAMENTO DIRETTO,80002930891,UFFICIO TERRITORIALE DEL GOVERNO DI SIRACUSA,SERVIZIO CONTABILITA' E GESTIONE FINANZIARIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,probabile
831459198B,,1,PROROGA SERVIZIO GESTIONE MIGRANTI INDACO LOTTO 1) GIUGNO-DICEMBRE 2020,PROROGA SERVIZIO GESTIONE MIGRANTI INDACO LOTTO 1) GIUGNO-DICEMBRE 2020,257964.16,257964.16,,037006,2020-05-18,AFFIDAMENTO DIRETTO,80070330370,PREFETTURA DI BOLOGNA,SERVIZIO ATTIVITA' CONTRATTUALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,probabile
8290415AE0,,1,SERVIZI DI ACCOGLIENZA PER RICHIEDENTI ASILO,SERVIZI DI ACCOGLIENZA PER RICHIEDENTI ASILO,127750.0,127750.0,CATANZARO,079058,2020-05-20,PROCEDURA APERTA,00296900798,COMUNE DI GIMIGLIANO,AREA AMMINISTRATIVA SOLURI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,0.0,AGGIUDICATA,certa
83260623B8,79568074DA,1,AFFIDAMENTO BIENNALE DEL SERVIZIO DI ACCOGLIENZA ED ASSISTENZA AI MIGRANTI AI SENSI DELL,AFFIDAMENTO BIENNALE DEL SERVIZIO DI ACCOGLIENZA ED ASSISTENZA AI MIGRANTI AI SENSI DELL'ACCORDO QUADRO SOTTOSCRITTO IN DATA 29.5.2020 ED APPROVATO IL 1 GIUGNO 2020,1237000.0,1237000.0,,089017,2020-05-29,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80002930891,UFFICIO TERRITORIALE DEL GOVERNO DI SIRACUSA,SERVIZIO CONTABILITA' E GESTIONE FINANZIARIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,probabile
8305252EC0,,1,CONVENZIONE PER LA MESSA A DISPOSIZIONE DI POSTI PER LA PRIMA ACCOGLIENZA DI N. 79 CITTADINI STRANIERI PRESENTI SUL TERRITORIO PROVINCIALE IN ISOLAMENTO SANITARIO CON SORVEGLIANZA ATTIVA,CONVENZIONE PER LA MESSA A DISPOSIZIONE DI POSTI PER LA PRIMA ACCOGLIENZA DI N. 79 CITTADINI STRANIERI PRESENTI SUL TERRITORIO PROVINCIALE IN ISOLAMENTO SANITARIO CON SORVEGLIANZA ATTIVA,57354.0,57354.0,,089017,2020-05-08,AFFIDAMENTO DIRETTO,80002930891,UFFICIO TERRITORIALE DEL GOVERNO DI SIRACUSA,SERVIZIO CONTABILITA' E GESTIONE FINANZIARIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,probabile
83127889A9,,1,EROGAZIONE CONTRIBUTO FONDO NAZIONALE ACCOGLIENZA MSNA 4^ TRIMESTRE 2019 I.E.A. SANTA CHIARA,EROGAZIONE CONTRIBUTO FONDO NAZIONALE ACCOGLIENZA MSNA 4^ TRIMESTRE 2019 I.E.A. SANTA CHIARA,65835.0,65835.0,,086006,2020-05-21,AFFIDAMENTO DIRETTO,80001380866,COMUNE CATENANUOVA,RESPONSABILE SETTORE SERVIZI SOCIALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,0.0,,certa
8300785879,,1,SERVIZIO ACCOGLIENZA MIGRANTI EXTRA GARA DAL 1^.4.2020 AL 31.7.2020. NAZARETH.,SERVIZIO ACCOGLIENZA MIGRANTI EXTRA GARA DAL 1^.4.2020 AL 31.3.2021. NAZARETH.,16836.0,16836.0,CREMONA,019036,2020-05-14,AFFIDAMENTO DIRETTO,80007700190,PREFETTURA DI CREMONA,SERVIZIO CONTABILITA' E GESTIONE FINANZIARIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,probabile
8689910496,,1,SERVIZI DI ACCOGLIENZA PER RICHIEDENTI ASILO TRIENNIO 2021-2023,SERVIZI DI ACCOGLIENZA PER RICHIEDENTI ASILO TRIENNIO 2021-2023,383250.0,383250.0,,079058,2020-05-20,PROCEDURA APERTA,00296900798,COMUNE DI GIMIGLIANO,AREA AMMINISTRATIVA SOLURI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,0.0,AGGIUDICATA,certa
82957594E4,,1,SERVIZI DI SUPPORTO ALL,"SERVIZI DI SUPPORTO ALL'ELABORAZIONE DEI DATI E ALLA RENDICONTAZIONE DELLE SPESE DEI CO-BENEFICIARI DEL PROGETTO 'MONITORAGGIO DELLA TUTELA VOLONTARIA PER MINORI STRANIERI NON ACCOMPAGNATI IN ATTUAZIONE DELL'ARTICOLO 11, LEGGE N. 47/2017' (PROG-2342), FINANZIATO A VALERE SULL'OBIETTIVO SPECIFICO 2. INTEGRAZIONE/MIGRAZIONE LEGALE - OBIETTIVO NAZIONALE: ON 3 - CAPACITY BUILDING - LETTERA I) QUALIFICAZIONE DEL SISTEMA DI ASSISTENZA AI MSNA DEL FONDO ASILO, MIGRAZIONE E INTEGRAZIONE (FAMI) 2014-2020 - CUP H59G18000040006",61475.41,61475.41,,023091,2020-05-11,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,00280090234,ISTITUTO DON CALABRIA,DIREZIONE GENERALE,79211200-8,SERVIZI DI STESURA DI RENDICONTI FINANZIARI,0.0,,certa
8302283CA8,,1,SERVIZIO ACCOGLIENZA MIGRANTI EXTRA GARA DAL 1^.4.2020 AL 31.3.2021. LA TENDA DI CRISTO.,SERVIZIO ACCOGLIENZA MIGRANTI EXTRA GARA DAL 1^.4.2020 AL 31.3.2021. LA TENDA DI CRISTO.,96075.0,96075.0,,019036,2020-05-14,AFFIDAMENTO DIRETTO,80007700190,PREFETTURA DI CREMONA,SERVIZIO CONTABILITA' E GESTIONE FINANZIARIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,365.0,AGGIUDICATA,probabile
8311881D2D,,1,ACCOGLIENZA DI N. 1 MINORE STRANIERO NON ACCOMPAGNATO IN COMUNITA' EDUCATIVA IN REGIME RESIDENZIALE,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,15200.0,15200.0,,013075,2020-05-27,AFFIDAMENTO DIRETTO,80005370137,COMUNE DI COMO,N. 22 SETTORE SERVIZI SOCIALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,0.0,,certa
8314613BB2,,1,PROROGA SERVIZIO GESTIONE MIGRANTI SOLCOINSIEME LOTTO2) GIUGNO-DICEMBRE 2020,PROROGA SERVIZIO GESTIONE MIGRANTI SOLCOINSIEME LOTTO2) GIUGNO-DICEMBRE 2020,99347.36,99347.36,,037006,2020-05-18,AFFIDAMENTO DIRETTO,80070330370,PREFETTURA DI BOLOGNA,SERVIZIO ATTIVITA' CONTRATTUALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,probabile
8324423B2A,,1,"PROSECUZIONE DELLA CONVENZIONE TRA COMUNE DI MILANO E L'ATS COSTITUITA TRA FARSI PROSSIMO ONLUS S.C.S. (MANDATARIA), SPAZIO APERTO SERVIZI ONLUS S.C.S. (MANDANTE) E SAVE THE CHILDREN ITALIA ONLUS (MANDANTE) PER LA REALIZZAZIONE DEL PROGETTO DENOMINATO 'CENTRO SERVIZI MINORI STRANIERI NON ACCOMPAGNATI', FINALIZZATO ALLA PRIMA ACCOGLIENZA DEI MINORI STRANIERI NON ACCOMPAGNATI PRESENTI SUL TERRITORIO CITTADINO. PERIODO: 1 GIUGNO 2020 - 29 AGOSTO 2020.","PROSECUZIONE DELLA CONVENZIONE TRA COMUNE DI MILANO E L'ATS COSTITUITA TRA FARSI PROSSIMO ONLUS S.C.S. (MANDATARIA), SPAZIO APERTO SERVIZI ONLUS S.C.S. (MANDANTE) E SAVE THE CHILDREN ITALIA ONLUS (MANDANTE) PER LA REALIZZAZIONE DEL PROGETTO DENOMINATO 'CENTRO SERVIZI MINORI STRANIERI NON ACCOMPAGNATI', FINALIZZATO ALLA PRIMA ACCOGLIENZA DEI MINORI STRANIERI NON ACCOMPAGNATI PRESENTI SUL TERRITORIO CITTADINO. PERIODO: 1 GIUGNO 2020 - 29 AGOSTO 2020.",163963.64,163963.64,MILANO,015146,2020-05-19,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,01199250158,COMUNE DI MILANO,DIREZIONE CENTRALE FAMIGLIA SCUOLA E POLITICHE SOCIALI,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,0.0,AGGIUDICATA,certa
83005652EE,,1,SERVIZIO ACCOGLIENZA MIGRANTI EXTRA GARA DAL 1^.4.2020 AL 31.3.2021. FORTY FIVE.,SERVIZIO ACCOGLIENZA MIGRANTI EXTRA GARA DAL 1^.4.2020 AL 31.3.2021. FORTY FIVE.,288525.0,288525.0,CREMONA,019036,2020-05-14,AFFIDAMENTO DIRETTO,80007700190,PREFETTURA DI CREMONA,SERVIZIO CONTABILITA' E GESTIONE FINANZIARIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,probabile
8322619A75,,1,AFFIDAMENTO PER LA GESTIONE DEL SERVIZIO DI ACCOGLIENZA MIGRANTI NEL CAS DI MONASTIR,AFFIDAMENTO PER LA GESTIONE DEL SERVIZIO DI ACCOGLIENZA MIGRANTI NEL CAS DI MONASTIR,191670.0,191670.0,,111041,2020-05-27,AFFIDAMENTO DIRETTO,80014130928,PREFETTURA DI CAGLIARI UTG,SERVIZIO A.S.G.A.C.,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,probabile
8314615D58,,1,PROROGA SERVIZIO GESTIONE MIGRANTI TRAMADITERRA LOTTO 2) GIUGNO-DICEMBRE 2020,PROROGA SERVIZIO GESTIONE MIGRANTI TRAMADITERRA LOTTO 2) GIUGNO-DICEMBRE 2020,177138.5,177138.5,,037006,2020-05-18,AFFIDAMENTO DIRETTO,80070330370,PREFETTURA DI BOLOGNA,SERVIZIO ATTIVITA' CONTRATTUALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,probabile
8314565418,,1,PROROGA SERVIZIO GESTIONE MIGRANTI ARCOLAIO LOTTO 2) GIUGNO-DICEMBRE 2020,PROROGA SERVIZIO GESTIONE MIGRANTI ARCOLAIO LOTTO 2) GIUGNO-DICEMBRE 2020,598108.6,598108.6,,037006,2020-05-18,AFFIDAMENTO DIRETTO,80070330370,PREFETTURA DI BOLOGNA,SERVIZIO ATTIVITA' CONTRATTUALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,probabile
8314585499,,1,PROROGA SERVIZIO GESTIONE MIGRANTI CIDAS LOTTO 2) GIUGNO-DICEMBRE 2020,PROROGA SERVIZIO GESTIONE MIGRANTI CIDAS LOTTO 2) GIUGNO-DICEMBRE 2020,300680.7,300680.7,,037006,2020-05-18,AFFIDAMENTO DIRETTO,80070330370,PREFETTURA DI BOLOGNA,SERVIZIO ATTIVITA' CONTRATTUALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,probabile
8283942D2F,8073051C6D,1,SERVIZIO ACCOGLIENZA STRUTTURE ABITATIVE MIGRANTI TERANGA ,SERVIZIO ACCOGLIENZA STRUTTURE ABITATIVE MIGRANTI TERANGA ,358100.14,358100.14,,,2020-05-01,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,93014220508,PREFETTURA DI PISA,PREFETTURA DI PISA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,probabile
82973673DB,8185760ED5,1,CONVENZIONE PER L'AFFIDAMENTO DEL SERVIZIO DI 'PRIMA ACCOGLIENZA DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE E LA GESTIONE DEI SERVIZI CONNESSI'. PERIODO 1/05/2020- 30/04/2022. ,CONVENZIONE PER L'AFFIDAMENTO DEL SERVIZIO DI 'PRIMA ACCOGLIENZA DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE E LA GESTIONE DEI SERVIZI CONNESSI'. PERIODO 1/05/2020- 30/04/2022. ,577027.98,577027.98,VARESE,012133,2020-05-06,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80014740122,PREFETTURA,U.T.G. PREFETTURA DI VARESE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,certa
83101264EA,,1,"ACCORDO QUADRO CON PIU' OPERATORI ECONOMICI VOLTO AD ASSICURARE I SERVIZI DI ACCOGLIENZA E SERVIZI CONNESSI AI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE, NELL'AMBITO DELLA PROVINCIA DI MODENA","ACCORDO QUADRO CON PIU' OPERATORI ECONOMICI VOLTO AD ASSICURARE I SERVIZI DI ACCOGLIENZA E SERVIZI CONNESSI AI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE, NELL'AMBITO DELLA PROVINCIA DI MODENA",37022703.36,37022703.36,,036023,2020-05-25,PROCEDURA APERTA,80001270364,PREFETTURA U.T.G. DI MODENA,SERVIZIO CONTABILITA E GESTIONE FINANZIARIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,730.0,,certa
83146076C0,,1,PROROGA SERVIZIO GESTIONE MIGRANTI SOLCOIMOLA LOTTO 2) GIUGNO-DICEMBRE 2020,PROROGA SERVIZIO GESTIONE MIGRANTI SOLCOIMOLA LOTTO 2) GIUGNO-DICEMBRE 2020,298042.08,298042.08,,037006,2020-05-18,AFFIDAMENTO DIRETTO,80070330370,PREFETTURA DI BOLOGNA,SERVIZIO ATTIVITA' CONTRATTUALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,probabile
