cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
7401394F88,,1,ACCOGLIMENTO DI MINORI STRANIERI NON ACCOMPAGNATI. APPROVAZIONE DELL'ELENCO DEGLI OPERATORI CON CUI STIPULARE LE CONVENZIONI. PER IL PERIODO 01.02.2018 - 31.01.2021. CENTRO DI FORMAZIONE PROFESSIONALE DI CIVIDALE (CIVIFORM) SOC COOP SOCIALE. CIVIDALE D. FRIULI (UD).,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,2091533.72,2091533.72,,032006,2017-06-30,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,00210240321,COMUNE DI TRIESTE,SERVIZIO STRUTTURE E INTERVENTI PER DISABILIT' CASA INSERIMENTO LAVORATIVO E ACCOGLIENZA,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,,AGGIUDICATA,certa
72027021B9,,1,"CO-PROGETTAZIONE E GESTIONE SERVIZI DI ACCOGLIENZA, INTEGRAZIONE E TUTELA - PROGETTO SPRAR","CO-PROGETTAZIONE E GESTIONE SERVIZI DI ACCOGLIENZA, INTEGRAZIONE E TUTELA - PROGETTO SPRAR",383250.0,383250.0,,012042,2017-06-13,PROCEDURA APERTA,00252280128,COMUNE DI CASTELLANZA,SETTORE POLITICHE SOCIALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,certa
71216603BF,,1,SERVIZI DI ACCOGLIENZA E ASSISTENZA A CITADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE,SERVIZI DI ACCOGLIENZA E ASSISTENZA A CITADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE,4042500.0,4042500.0,,080063,2017-06-27,PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI),80009220809,PREFETTURA DI REGGIO CALABRIA,SERV. AMM.NE AFFARI EGENERALI E ATT. CONTRATTUALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,DESERTA,certa
7121383F25,,1,"PROCEDURA APERTA, AI SENSI DELL'ART. 60 DEL D. LGS. N. 50/2016, PER LA CONCLUSIONE DI ACCORDO QUADRO, EX ART. 54 DEL D. LGS. N. 50/2016, CON UNO O PIU' OPERATORI ECONOMICI, PER L'AFFIDAMENTO IN CONVENZIONE DEL SERVIZIO DI ACCOGLIENZA NEL TERRITORIO DELLA PROVINCIA DI ISERNIA A FAVORE DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE - PROCEDURA AVENTE AD OGGETTO SERVIZI DI CUI ALL'ALLEGATO IX DEL D. LGS. 50/2016. ","PROCEDURA APERTA, AI SENSI DELL'ART. 60 DEL D. LGS. N. 50/2016, PER LA CONCLUSIONE DI ACCORDO QUADRO, EX ART. 54 DEL D. LGS. N. 50/2016, CON UNO O PIU' OPERATORI ECONOMICI, PER L'AFFIDAMENTO IN CONVENZIONE DEL SERVIZIO DI ACCOGLIENZA NEL TERRITORIO DELLA PROVINCIA DI ISERNIA A FAVORE DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE - PROCEDURA AVENTE AD OGGETTO SERVIZI DI CUI ALL'ALLEGATO IX DEL D. LGS. 50/2016.",50138600.93,50138600.93,,,2017-06-30,PROCEDURA APERTA,80001850942,PREFETTURA DI ISERNIA,PREFETTURA DI ISERNIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
7117943860,,1,PROGETTO SPRAR TRIENNIO 2017 - 2019 DM 10.08.2016,PROGETTO SPRAR TRIENNIO 2017 - 2019 DM 10.08.2016,936567.0,936567.0,BARI,072048,2017-06-27,PROCEDURA APERTA,CFAVCP-0000EA8,CUC SANNICANDRO BINETTO TORITTO SANTERAMO CASAMASSIMA MODUGNO,COMUNE DI VALENZANO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
7115835CCB,70422329AE,1,SERVIZIO ACCOGLIENZA MIGRANTI,SERVIZIO ACCOGLIENZA MIGRANTI,1402301.0,1402301.0,,035033,2017-06-20,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80011890359,PREFETTURA DI REGGIO EMILIA,U.T.G. REGGIO EMILIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,probabile
71000445A8,69495684EF,1,ACCOGLIENZA CITTADINI STRANIERI MIGRANTI,ACCOGLIENZA CITTADINI STRANIERI MIGRANTI,1395226.0,1395226.0,LODI,098043,2017-06-05,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,92526810152,PREFETTURA DI LODI,PREFETTO DI LODI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,probabile
7172859E7C,7105673AD9,1,MARINELLA - INCONTRI. AFFIDAMENTO SERVIZI DI ACCOGLIENZA AI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE E GESTIONE DEI SERVIZI CONNESSI.,MARINELLA - INCONTRI. AFFIDAMENTO SERVIZI DI ACCOGLIENZA AI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE E GESTIONE DEI SERVIZI CONNESSI.,40540.0,40540.0,,,2017-06-15,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80049360631,UFFICIO TERRITORIALE DEL GOVERNO,SERVIZIO ATTIVITA' CONTRATTUALI,55130000-0,ALTRI SERVIZI ALBERGHIERI,,,certa
71204193A4,,1,PROROGA TECNICA ACCOGLIENZA MIGRANTI GIUGNO LUGLIO 2017 HOTEL IDA,PROROGA TECNICA ACCOGLIENZA MIGRANTI GIUGNO LUGLIO 2017 HOTEL IDA,45246.56,45246.56,MASSA-CARRARA,045010,2017-06-08,PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI),80003940451,PREFETTURA DI MASSA CARRARA UFFICIO TERRITORIALE DEL GOVERNO,SERVIZI GENERALI E ATTIVITA' CONTRATTUALE,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,,AGGIUDICATA,probabile
7126229E31,,1,SERVIZIO DI ACCOGLIENZA DI CITTADINI STRANIERI PRESSO CONGRAGAZIONE DEI ROGAZIONISTI - VILLA S. MARIA (ME),SERVIZIO DI ACCOGLIENZA DI CITTADINI STRANIERI PRESSO CONGRAGAZIONE DEI ROGAZIONISTI - VILLA S. MARIA (ME),60000.0,60000.0,,083048,2017-06-28,AFFIDAMENTO DIRETTO,80007950837,MINISTERO DELL'INTERNO -PREFETTURA MESSINA,SERVIZIO AMMINISTRAZIONE SERVIZI GENERALI E ATTIVITA' CONTRATTUALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,probabile
