cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
622203273B,,4,"ACQUISTO ARREDI, MATERIALI INFORMATICI ED ELETTRONICI OCCORRENTI PER L'EDIFICIO COMUNALE DESTINATO A CENTRO ACCOGLIENZA IMMIGRATI RICHIEDENTI ASILO L'INCONTRO DEI POPOLI",ACQUISTO ELETTRODOMESTICI OCCORRENTI PER L'EDIFICIO COMUNALE DESTINATO A CENTRO ACCOGLIENZA IMMIGRATI RICHIEDENTI ASILO L'INCONTRO DEI POPOLI,3200.0,25595.0,,061024,2015-04-16,AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,01710120617,COMUNE DI CASTEL DI SASSO,UFFICIO TECNICO COMUNALE,39711000-9,ELETTRODOMESTICI PER USO ALIMENTARE,,,certa
62387993CD,,1,SERVIZIO DI ACCOGLIENZA DI CITTADINI MIGRANTI RICHIEDENTI PROTEZIONE INTERNAZIONALE PRESSO LA PROVINCIA DI BOLOGNA,SERVIZIO DI ACCOGLIENZA DI CITTADINI MIGRANTI RICHIEDENTI PROTEZIONE INTERNAZIONALE PRESSO LA PROVINCIA DI BOLOGNA,130000.0,130000.0,BOLOGNA,037006,2015-04-14,AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,80070330370,PREFETTURA DI BOLOGNA,UFFICIO CONTRATTI E APPALTI,85320000-8,SERVIZI SOCIALI,,AGGIUDICATA,certa
6222031668,,4,"ACQUISTO ARREDI, MATERIALI INFORMATICI ED ELETTRONICI OCCORRENTI PER L'EDIFICIO COMUNALE DESTINATO A CENTRO ACCOGLIENZA IMMIGRATI RICHIEDENTI ASILO L'INCONTRO DEI POPOLI",ACQUISTO MATERIALI INFORMATICI OCCORRENTI PER L'EDIFICIO COMUNALE DESTINATO A CENTRO ACCOGLIENZA IMMIGRATI RICHIEDENTI ASILO L'INCONTRO DEI POPOLI,3525.0,25595.0,,061024,2015-04-16,AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,01710120617,COMUNE DI CASTEL DI SASSO,UFFICIO TECNICO COMUNALE,30230000-0,APPARECCHIATURE INFORMATICHE,,,certa
624273323E,,1,ACCOGLIENZA MIGRANTI 4-31.5.15 IN FIRENZE VIA TAGLIAMENTO ,ACCOGLIENZA MIGRANTI 4-31.5.15 IN FIRENZE VIA TAGLIAMENTO ,46298.0,46298.0,,048017,2015-04-15,AFFIDAMENTO DIRETTO,80020830487,PREFETTURA DI FIRENZE,SERVIZI DI ATTIVITA' CONTRATTUALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,probabile
6219315518,,1,CONVENZIONE INTEGRATIVA POSTI AGGIUNTIVI SPRAR ORDINARI 2014,CONVENZIONE INTEGRATIVA POSTI AGGIUNTIVI SPRAR ORDINARI 2014,103110.0,103110.0,,084030,2015-04-14,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,00215640848,COMUNE DI RAFFADALI,SETTORE SERVIZI SOCIALI,98133000-4,SERVIZI PRESTATI DA ORGANIZZAZIONI ASSOCIATIVE DI CARATTERE SOCIALE,,,certa
62009219E1,,1,SERVIZIO DI ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTE PROTEZIONE INTERNAZIONALE . 38 POSTI,SERVIZIO DI ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTE PROTEZIONE INTERNAZIONALE . 38 POSTI,69540.0,69540.0,TREVISO,026092,2015-04-01,AFFIDAMENTO DIRETTO,80185690585,MINISTERO DELL INTERNO-DIPARTIMENTO PER GLI AFFARI INTERNI E TERRITORIALI,PREFETTURA UTG DI TREVISO,55110000-4,SERVIZI DI SISTEMAZIONE ALBERGHIERA,,AGGIUDICATA,certa
6238546305,,10,PROSECUZIONE INCARICO ACCOGLIENZA SPRAR. DOMUS CARITATIS,PROSECUZIONE INCARICO ACCOGLIENZA SPRAR ANNO 2015. GERANO,572237.29,6581158.74,ROMA,058091,2015-04-29,AFFIDAMENTO DIRETTO,02438750586,ROMA CAPITALE,ROMA CAPITALE - DIPARTIMENTO PROMOZIONE DEI SERVIZI SOCIALI E DELLA SALUTE,98130000-3,SERVIZI VARI DI ORGANIZZAZIONI ASSOCIATIVE,,AGGIUDICATA,certa
6291858D76,,1,SERVIZIO DI ACCOGLIENZA A FAVORE DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE,SERVIZIO DI ACCOGLIENZA A FAVORE DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE DAL 15.6 AL 30.9.2015,82944.0,82944.0,FIRENZE,048014,2015-04-15,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80020830487,PREFETTURA DI FIRENZE,SERVIZI DI ATTIVITA' CONTRATTUALE,98341100-6,SERVIZI DI GESTIONE ALLOGGI,,AGGIUDICATA,certa
6321250C82,,1,CENTRO ACCOGLIENZA PROFUGHI 11.6-30.9.2015,CENTRO ACCOGLIENZA PROFUGHI 11.6-30.9.2015,185192.0,185192.0,,048022,2015-04-15,PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI),80020830487,PREFETTURA DI FIRENZE,SERVIZI DI ATTIVITA' CONTRATTUALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
6192176947,,1,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI,3763200.0,3763200.0,,060038,2015-04-02,PROCEDURA APERTA,80006890604,PREFETTURA DI FROSINONE,SERVIZIO CONTABILITA' E GESTIONE FINANZIARIA,85320000-8,SERVIZI SOCIALI,,,probabile
