cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
7599863558,7327578CA5,1,STIPULA CONVENZIONE ACCORDO QUADRO ACCOGLIENZA MIGRANTI ANNO 2018 - COOP. DELL'ANGELO,STIPULA CONVENZIONE ACCORDO QUADRO ACCOGLIENZA MIGRANTI ANNO 2018 - COOP. DELL'ANGELO,117108.0,117108.0,CASERTA,061022,2018-08-10,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80002190611,MINISTERO INTERNO PREFETTURA CASERTA,UFFICIO CONTRATTI,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,,AGGIUDICATA,probabile
75965149A8,,1,ACCOGLIENZA RICHIEDENTI PROTEZIONE INTERNAZIONALE SPRAR PERIODO GENNAIO-DICEMBRE 2018,ACCOGLIENZA RICHIEDENTI PROTEZIONE INTERNAZIONALE SPRAR PERIODO GENNAIO-DICEMBRE 2018,577485.71,577485.71,,082057,2018-08-09,CONFRONTO COMPETITIVO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,00607470820,COMUNE DI PIANA DEGLI ALBANESI,UFFICIO TECNICO COMUNALE,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,,,certa
7589485127,,1,"RINNOVO DELL'AFFIDAMENTO, AI SENSI DELL'ARTICOLO 1, COMMA 6, DEL D.LGS. 28 SETTEMBRE 2012, N. 178, A CROCE ROSSA ITALIANA - COMITATO PROVINCIALE DI TRENTO, DEL SERVIZIO DI ACCOGLIENZA STRAORDINARIA DEI RICHIEDENTI PROTEZIONE INTERNAZIONALE, CHE IL MINISTERO DELL'INTERNO HA DESTINATO AL TRENTINO, DA SVOLGERSI PRESSO LA RESIDENZA 'ADIGE' SITA A TRENTO IN LOCALITÀ VELA.","RINNOVO DELL'AFFIDAMENTO, AI SENSI DELL'ARTICOLO 1, COMMA 6, DEL D.LGS. 28 SETTEMBRE 2012, N. 178, A CROCE ROSSA ITALIANA - COMITATO PROVINCIALE DI TRENTO, DEL SERVIZIO DI ACCOGLIENZA STRAORDINARIA DEI RICHIEDENTI PROTEZIONE INTERNAZIONALE, CHE IL MINISTERO DELL'INTERNO HA DESTINATO AL TRENTINO, DA SVOLGERSI PRESSO LA RESIDENZA 'ADIGE' SITA A TRENTO IN LOCALITÀ VELA.",925127.2,925127.2,TRENTO,022205,2018-08-07,AFFIDAMENTO DIRETTO,00337460224,PROVINCIA AUTONOMA DI TRENTO,CINFORMI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,,AGGIUDICATA,certa
7590643CC0,,1,LIQUIDAZIONE RETTE DI RICOVERO MSNA 'LA CASA DEL SOLE'. EROGAZIONE CONTRIBUTO MINISTERIALE 1^ TRIMESTRE 2018,LIQUIDAZIONE RETTE DI RICOVERO MSNA 'LA CASA DEL SOLE'. EROGAZIONE CONTRIBUTO MINISTERIALE 1^ TRIMESTRE 2018,41314.15,41314.15,AGRIGENTO,084001,2018-08-02,AFFIDAMENTO DIRETTO,00074260845,COMUNE DI AGRIGENTO,UFFICIO SERVIZIO SOCIALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
7598205D1C,,1,PROGETTO SPRAR CAT. DISAGIO MENTALE INDIVIDUAZIONE SOGGETTO ATTUATORE ,PROGETTO SPRAR CAT. DISAGIO MENTALE INDIVIDUAZIONE SOGGETTO ATTUATORE ,291978.0,291978.0,,074009,2018-08-10,PROCEDURA APERTA,91008570748,COMUNE DI LATIANO,SERVIZI SOCIALI E SCOLASTICI,85320000-8,SERVIZI SOCIALI,,,certa
7563617E30,,1,SERVIZI PREVISTI DALLE PROGETTAZIONI IN MATERIA DI IMMIGRAZIONE E PROTEZIONE INTERNAZIONALE,SERVIZI PREVISTI DALLE PROGETTAZIONI IN MATERIA DI IMMIGRAZIONE E PROTEZIONE INTERNAZIONALE,149121.72,149121.72,PORDENONE,093033,2018-08-14,PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE UNA GARA,80002150938,COMUNE DI PORDENONE,SETTORE III - SERVIZI ALLA PERSONA E ALLA COMUNITA',85312400-3,SERVIZI DI ASSISTENZA SOCIALE NON PRESTATI DA ISTITUTI RESIDENZIALI,,AGGIUDICATA,certa
7612105BC1,,1,ACCOGLIENZA MIGRANTI,ACCOGLIENZA MIGRANTI,211313.0,211313.0,,013075,2018-08-27,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,80020320133,PREFETTURA DI COMO,UFFICIO TERRITORIALE DEL GOVERNO DI COMO,85320000-8,SERVIZI SOCIALI,,,probabile
7599874E69,7327578CA5,1,STIPULA CONVENZIONE ACCORDO QUADRO ACCOGLIENZA MIGRANTI - ANNO 2018 - ATI MY WAY / NIBIRU,STIPULA CONVENZIONE ACCORDO QUADRO ACCOGLIENZA MIGRANTI - ANNO 2018 - ATI MY WAY / NIBIRU,171758.4,171758.4,CASERTA,061022,2018-08-10,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80002190611,MINISTERO INTERNO PREFETTURA CASERTA,UFFICIO CONTRATTI,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,,AGGIUDICATA,probabile
7597214B50,,1,SERVIZIO DI ACCOGLIENZA DI CITTADINI EXTRACOMUNITARI RICHIEDENTE PROTEZIONE INTERNAZIONALE COOP IL FAGGIO - DA AGOSTO,SERVIZIO DI ACCOGLIENZA DI CITTADINI EXTRACOMUNITARI RICHIEDENTE PROTEZIONE INTERNAZIONALE COOP IL FAGGIO - DA AGOSTO,149500.0,149500.0,IMPERIA,008031,2018-08-01,AFFIDAMENTO DIRETTO,80003950088,PREFETTURA DI IMPERIA,PREFETTURA UTG,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
7592327A6F,,1,"SERVIZIO DI GESTIONE DI AZIONI DI SISTEMA PER L' ACCOGLIENZA, LA TUTELA E L'INTEGRAZIONE A FAVORE DI RICHIEDENTI ASILO E RIFUGIATI - SPRAR ADULTI. (D.M. 10 AGOSTO 2016 - ART. 3 LETT.A) - RIPETIZIONE APPALTO","SERVIZIO DI GESTIONE DI AZIONI DI SISTEMA PER L' ACCOGLIENZA, LA TUTELA E L'INTEGRAZIONE A FAVORE DI RICHIEDENTI ASILO E RIFUGIATI - SPRAR ADULTI. (D.M. 10 AGOSTO 2016 - ART. 3 LETT.A) - RIPETIZIONE APPALTO",859940.0,859940.0,,090064,2018-08-07,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,00239740905,COMUNE DI SASSARI,SETTORE POLITICHE SOCIALI E PARI OPPORTUNITA',85320000-8,SERVIZI SOCIALI,,AGGIUDICATA,certa
