cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
87697724CB,,1,GARA PROGETTO SIPROIMI ORDINARI BIENNIO 2021-2022,GARA PROGETTO SIPROIMI ORDINARI BIENNIO 2021-2022,990163.93,990163.93,,056059,2021-06-15,PROCEDURA APERTA,80008850564,COMUNE DI VITERBO,SETTORE SERVIZI SOCIALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,certa
88131590E2,7823445F09,1,OPI - ACCORDO QUADRO BIENNALE ACCOGLIENZA MIGRANTI 6-50.,OPI - ACCORDO QUADRO BIENNALE ACCOGLIENZA MIGRANTI 6-50.,1945246.0,1945246.0,,,2021-06-30,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80049360631,UFFICIO TERRITORIALE DEL GOVERNO,SERVIZIO ATTIVITA' CONTRATTUALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,probabile
8808698F88,,1,PROGETTO SPRAR PROVINCIA POTENZA ORDINARI 2017/2019 PIÙ PROROGA 2020 - PROROGA 01/07/2021 - 31/08/2021, PROGETTO SPRAR PROVINCIA POTENZA ORDINARI 2017/2019 PIÙ PROROGA 2020 - PROROGA 01/07/2021 - 31/08/2021,236909.0,236909.0,,076063,2021-06-26,PROCEDURA APERTA,80002710764,PROVINCIA DI POTENZA,UFFICIO AFFARI GENERALI E RISORSE UMANE,85320000-8,SERVIZI SOCIALI,0.0,,certa
8789601035,,1,AFFIDAMENTO SERVIZIO ACCOGLIENZA MIGRANTI TERRITORIO VENEZIA - UNITÀ ABITATIVE FINO A 50 POSTI ,AFFIDAMENTO SERVIZIO ACCOGLIENZA MIGRANTI TERRITORIO VENEZIA - UNITÀ ABITATIVE FINO A 50 POSTI,14686770,14686770,VENEZIA,027042,2021-06-30,PROCEDURA APERTA,80009820277,PREFETTURA DI VENEZIA,PREFETTURA DI VENEZIA - S.C.G.F.,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,730.0,AGGIUDICATA,probabile
88053504B0,,1,PROROGA SERVIZIO GESTIONE MIGRANTI CIDAS LOTTO 2) LUGLIO-DICEMBRE 2021,PROROGA SERVIZIO GESTIONE MIGRANTI CIDAS LOTTO 2) LUGLIO-DICEMBRE 2021,254314.0,254314.0,,037006,2021-06-18,AFFIDAMENTO DIRETTO,80070330370,PREFETTURA DI BOLOGNA,UFFICIO CONTRATTI E APPALTI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,probabile
8792769684,,1,SERVIZIO ACCOGLIENZA MIGRANTI CAS VIA AQUILA MILANO,SERVIZIO ACCOGLIENZA MIGRANTI CAS VIA AQUILA MILANO,8790823.2,8790823.2,,,2021-06-14,PROCEDURA APERTA,80101710152,PREFETTURA DI MILANO,SASGAC,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,probabile
8813254F43,7823479B19,1,RTI CROCE ROSSA ACCORDO QUADRO BIENNALE ACCOGLIENZA MIGRANTI 51 A 100,RTI CROCE ROSSA ACCORDO QUADRO BIENNALE ACCOGLIENZA MIGRANTI 51 A 100,2411288.0,2411288.0,,,2021-06-30,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80049360631,UFFICIO TERRITORIALE DEL GOVERNO,SERVIZIO ATTIVITA' CONTRATTUALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,probabile
8810285D2B,,1,"SERVIZIO DI ACCOGLIENZA STRAORDINARIA IN FAVORE DI MASSIMO 250 RICHIEDENTI PROTEZIONE INTERNAZIONALE, NELL'AMBITO DEL PROTOCOLLO DI INTESA TRA PROVINCIA E ARCIDIOCESI DI TRENTO APPROVATO CON DELIBERAZIONE N. 304 DEL 13 MARZO 2020 PER L'ATTUAZIONE DEL PROGETTO 'UNA COMUNITÀ INTERA - UCI' PER IL PERIODO 01 LUGLIO - 31 AGOSTO 2021","SERVIZIO DI ACCOGLIENZA STRAORDINARIA IN FAVORE DI MASSIMO 250 RICHIEDENTI PROTEZIONE INTERNAZIONALE, NELL'AMBITO DEL PROTOCOLLO DI INTESA TRA PROVINCIA E ARCIDIOCESI DI TRENTO APPROVATO CON DELIBERAZIONE N. 304 DEL 13 MARZO 2020 PER L'ATTUAZIONE DEL PROGETTO 'UNA COMUNITÀ INTERA - UCI' PER IL PERIODO 01 LUGLIO - 31 AGOSTO 2021",356500.0,356500.0,,022205,2021-06-30,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,00337460224,PROVINCIA AUTONOMA DI TRENTO,CINFORMI,85320000-8,SERVIZI SOCIALI,0.0,,certa
8751851FE7,,1,SERVIZI CENTRI DI ACCOGLIENZA IMMIGRATI IN SINGOLE UNITÀ ABITATIVE - ACCORDO QUADRO BIENNALE 2021-2023,SERVIZI CENTRI DI ACCOGLIENZA IMMIGRATI IN SINGOLE UNITÀ ABITATIVE,9987003.6,9987003.6,VITERBO,056059,2021-06-09,PROCEDURA APERTA,80016510564,PREFETTURA DI VITERBO-UFFICIO TERRITORIALE DEL GOVERNO-,UFFICIO ECONOMICO FINANZIARIO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,730.0,AGGIUDICATA,probabile
8751906D4B,,1,SERVIZI CENTRI DI ACCOGLIENZA IMMIGRATI IN CENTRI COLLETTIVI CON CAPACITÀ RICETTIVA FINO A 50 POSTI - ACCORDO QUADRO BIENNALE 2021-2023,SERVIZI CENTRI DI ACCOGLIENZA IMMIGRATI IN CENTRI COLLETTIVI CON CAPACITÀ RICETTIVA FINO A 50 POSTI - ACCORDO QUADRO BIENNALE 2021-2023,9969072.0,9969072.0,VITERBO,056059,2021-06-09,PROCEDURA APERTA,80016510564,PREFETTURA DI VITERBO-UFFICIO TERRITORIALE DEL GOVERNO-,UFFICIO ECONOMICO FINANZIARIO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,730.0,AGGIUDICATA,probabile
880540848D,,1,PROROGA SERVIZIO GESTIONE MIGRANTI INDACO LOTTO 1) LUGLIO-DICEMBRE 2021,PROROGA SERVIZIO GESTIONE MIGRANTI INDACO LOTTO 1) LUGLIO-DICEMBRE 2021,218184.64,218184.64,,037006,2021-06-18,AFFIDAMENTO DIRETTO,80070330370,PREFETTURA DI BOLOGNA,UFFICIO CONTRATTI E APPALTI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,probabile
8808930EFC,,1,PROGETTO SPRAR PROVINCIA POTENZA MSNA 2017/2019 PIÙ PROROGA 2020 - PROROGA 01/07/2021 - 31/08/2021,PROGETTO SPRAR PROVINCIA POTENZA MSNA 2017/2019 PIÙ PROROGA 2020 - PROROGA 01/07/2021 - 31/08/2021,49095.0,49095.0,,076063,2021-06-25,PROCEDURA APERTA,80002710764,PROVINCIA DI POTENZA,UFFICIO AFFARI GENERALI E RISORSE UMANE,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,0.0,,certa
8712055737,,1,ACCOGLIENZA MIGRANTI IN SINGOLE UNITA,ACCOGLIENZA MIGRANTI IN SINGOLE UNITA,4196220.0,4196220.0,SIENA,052032,2021-06-14,PROCEDURA APERTA,80007860523,PREFETTURA DI SIENA,MINISTERO DELL'INTERNO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,730.0,AGGIUDICATA,probabile
88030266DC,,1,AFFIDAMENTO SERVIZIO ACCOGLIENZA MIGRANTI TERRITORIO VENEZIA - CENTRI COLLETTIVI DA 51 A 100 POSTI,AFFIDAMENTO SERVIZIO ACCOGLIENZA MIGRANTI TERRITORIO VENEZIA - CENTRI COLLETTIVI DA 51 A 100 POSTI,2420770.0,2420770.0,,027042,2021-06-30,PROCEDURA APERTA,80009820277,PREFETTURA DI VENEZIA,PREFETTURA DI VENEZIA - S.C.G.F.,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,730.0,DESERTA,probabile
88154882D5,,1,AFFIDAMENTO AD UN SOGGETTO PARTNER E GESTORE NELL'AMBITO DEL SISTEMA SIPROIMI (SISTEMA DI PROTEZIONE PER TITOLATI DI PROTEZIONE INTERNAZIONALE E PER MINORI STRANIERI NON ACCOMPAGNATI) ,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,142350.36,142350.36,LATINA,059019,2021-06-29,AFFIDAMENTO DIRETTO,80005330594,COMUNE DI PRIVERNO,SERVIZIO 1.1 UFFICIO DEI SERVIZI SOCIALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,0.0,AGGIUDICATA,certa
8813145553,7823445F09,1,RTI IMPRONTA ACCORDO QUADRO BIENNALE ACCOGLIENZA MIGRANTI 6-50,RTI IMPRONTA ACCORDO QUADRO BIENNALE ACCOGLIENZA MIGRANTI 6-50,985198.0,985198.0,,,2021-06-30,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80049360631,UFFICIO TERRITORIALE DEL GOVERNO,SERVIZIO ATTIVITA' CONTRATTUALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,probabile
8784537D3F,,1,"GARA EUROPEA A PROCEDURA APERTA PER LA CONCLUSIONE DI UN ACCORDO QUADRO AVENTE AD OGGETTO L'AFFIDAMENTO DEL SERVIZIO DI ACCOGLIENZA E ASSISTENZA DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE PRESSO I CENTRI DI ACCOGLIENZA COSTITUITI DA SINGOLE UNITA' ABITATIVE CON CAPIENZA SINO A 50 POSTI COMPLESSIVI (ART. 1, COMMA 2, LETT. A, DEL CAPITOLATO MINISTERIALE APPROVATO CON D.M. DEL 29/01/2021), UBICATI NELLA PROVINCIA DI MONZA E DELLA BRIANZA PER COMPLESSIVI N. 700 POSTI PER IL BIENNIO 01/10/2021-30/09/2023 ","GARA EUROPEA A PROCEDURA APERTA PER LA CONCLUSIONE DI UN ACCORDO QUADRO AVENTE AD OGGETTO L'AFFIDAMENTO DEL SERVIZIO DI ACCOGLIENZA E ASSISTENZA DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE PRESSO I CENTRI DI ACCOGLIENZA COSTTUITI DA SINGOLE UNITA' ABITATVE CON CAPIENZA SINO A 50 POSTI (ART. 1, COMMA 2, LETT. A, DEL CAPITOLATO MINISTERIALE APPROVATO CON D.M. DEL 29/01/2021), UBICATI NELLA PROVINCIA DI MONZA E DELLA BRIANZA PER COMPLESSIVI N. 700 POSTI PER IL BIENNIO 01/10/2021-30/09/2023. ",24253509,24253509,,,2021-06-29,PROCEDURA APERTA,94621140154,PREFETTURA DI MONZA E DELLA BRIANZA,PREFETTURA DI MONZA E DELLA BRIANZA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,730.0,AGGIUDICATA,certa
8774766DF6,,1,GARA APERTA PER L'AFFIDAMENTO DEL SERVIZIO DI ACCOGLIENZA MIGRANTI IN CENTRI COSTITUITI DA CENTRI COLLETTIVI MAX 50 POSTI,GARA APERTA PER L'AFFIDAMENTO DEL SERVIZIO DI ACCOGLIENZA MIGRANTI IN CENTRI COSTITUITI DA CENTRI COLLETTIVI MAX 50 POSTI,7330200.0,7330200.0,,,2021-06-25,PROCEDURA APERTA,80015960281,PREFETTURA DI PADOVA,PREFETTURA PADOVA - SERVIZIO CONTABILITA',85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,730.0,AGGIUDICATA,probabile
8753469721,,1,AFFIDAMENTO DELLA GESTIONE DEL SERVIZIO DI SECONDA ACCOGLIENZA IN FAVORE DI 16 MINORI STRANIERI NON ACCOMPAGNATI (MSNA) PER LA DURATA DI MESI 30 CON OPZIONE DI RINNOVO.PROGETTO CODICE 1658-PR-1 ,AFFIDAMENTO DELLA GESTIONE DEL SERVIZIO DI SECONDA ACCOGLIENZA IN FAVORE DI 16 MINORI STRANIERI NON ACCOMPAGNATI (MSNA) PER LA DURATA DI 30 MESI CON OPZIONE DI RINNOVO.PROGETTO CODICE 1658-PR-1,2436441.4,2436441.4,PESARO E URBINO,041013,2021-06-25,PROCEDURA APERTA,00127440410,COMUNE DI FANO,SETTORE CULTURA TURISMO E SPORT,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,certa
8813176EE5,7823445F09,1,GAMA ACCORDO QUADRO BIENNALE ACCOGLIENZA MIGRANTI 6-50.,GAMA ACCORDO QUADRO BIENNALE ACCOGLIENZA MIGRANTI 6-50.,1173062.0,1173062.0,,,2021-06-30,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80049360631,UFFICIO TERRITORIALE DEL GOVERNO,SERVIZIO ATTIVITA' CONTRATTUALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,probabile
8790351B1D,,1,"INDIVIDUAZIONE SOGGETTO ATTUATORE PER LA GESTIONE DEI SERVIZI DI ACCOGLIENZA SIPROIMI, PROG-147-PR-2 CATEGORIA ORDINARI, E ALTRI SERVIZI DI INCLUSIONE PER CITTADINI STRANIERI NEL COMUNE DI FABBRICHE DI VERGEMOLI","INDIVIDUAZIONE SOGGETTO ATTUATORE PER LA GESTIONE DEI SERVIZI DI ACCOGLIENZA SIPROIMI, PROG-147-PR-2 CATEGORIA ORDINARI, E ALTRI SERVIZI DI INCLUSIONE PER CITTADINI STRANIERI NEL COMUNE DI FABBRICHE DI VERGEMOLI",1527258.26,1527258.26,LUCCA,046036,2021-06-30,PROCEDURA APERTA,02335530461,COMUNE DI FABBRICHE DI VERGEMOLI,UFFICIO TECNICO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,certa
892938599A,,1,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE,108100.0,108100.0,,,2021-06-01,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,91060920336,PREFETTURA DI PIACENZA - UFFICIO TERRITORIALE DEL GOVERNO,UFFICIO TERRITORIALE DEL GOVERNO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,90.0,,certa
8770999957,7819125213,6,"PROROGA ACCORDO QUADRO CON PIÙ OPERATORI ECONOMICI VOLTO AD ASSICURARE I SERVIZI DI ACCOGLIENZA E SERVIZI CONNESSI AI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE, NELLA PROVINCIA DI MODENA","PROROGA ACCORDO QUADRO CON PIÙ OPERATORI ECONOMICI VOLTO AD ASSICURARE I SERVIZI DI ACCOGLIENZA E SERVIZI CONNESSI AI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE, NELLA PROVINCIA DI MODENA-CEIS",454132.8,9170386.2,,036023,2021-06-01,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80001270364,PREFETTURA U.T.G. DI MODENA,SERVIZIO CONTABILITA E GESTIONE FINANZIARIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,certa
8797583B26,,1,PROCEDURA NEGOZIATA PER AFFIDAMENTO MINORI STRANIERI NON ACCOMPAGNATI DI ETÀ SUPERIORE AI 14 ANNI,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,655758.0,655758.0,,073027,2021-06-17,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,80011530732,PREFETTURA TARANTO,AREA SERVIZI COMUNI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,certa
