cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
9138553C7E,,1,"AFFIDAMENTO AI SENSI ART. 36, C. 2, LETT. A) DEL D.LGS 50/2016 E ORDINANZA PROTEZIONE CIVILE N. 872 DEL 04/03/2022 ALL'ORGANISMO CENTRO PER L'AUTONOMIA - MICHELE IACONTINO SOC COOP SOC ONLUS DEL PROGETTO DENOMINATO CENTRO '@HOME - MPC' PER N. 8 POSTI, PERIODO 15/03 - 31/12/2022, PER LA REALIZZAZIONE DI PROGETTI DI ACCOGLIENZA IN FAVORE DI ADULTI SINGOLI E FAMIGLIE TITOLARI DI ACCOGLIENZA SAI (SISTEMA DI ACCOGLIENZA ED INTEGRAZIONE), IN CENTRI RESIDENZIALI ED IN ACCOGLIENZA DIFFUSA. FONDO NAZIONALE PER LE POLITICHE E I SERVIZI DELL'ASILO. ANNUALITÀ 2022. IMPEGNO FONDI ? 105.120,00","AFFIDAMENTO AI SENSI ART. 36, C. 2, LETT. A) DEL D.LGS 50/2016 E ORDINANZA PROTEZIONE CIVILE N. 872 DEL 04/03/2022 ALL'ORGANISMO CENTRO PER L'AUTONOMIA - MICHELE IACONTINO SOC COOP SOC ONLUS DEL PROGETTO DENOMINATO CENTRO '@HOME - MPC' PER N. 8 POSTI, PERIODO 15/03 - 31/12/2022, PER LA REALIZZAZIONE DI PROGETTI DI ACCOGLIENZA IN FAVORE DI ADULTI SINGOLI E FAMIGLIE TITOLARI DI ACCOGLIENZA SAI (SISTEMA DI ACCOGLIENZA ED INTEGRAZIONE), IN CENTRI RESIDENZIALI ED IN ACCOGLIENZA DIFFUSA. FONDO NAZIONALE PER LE POLITICHE E I SERVIZI DELL'ASILO. ANNUALITÀ 2022. IMPEGNO FONDI ? 105.120,00",105120.0,105120.0,ROMA,058091,2022-03-09,AFFIDAMENTO DIRETTO,02438750586,ROMA CAPITALE,DIPARTIMENTO POLITICHE SOCIALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,292.0,AGGIUDICATA,certa
91584575CD,8754836F34,1,CIG DERIVATO IN ADESIONE ACCORDO QUADRO ASSISTENZA MIGRANTI MARZO 2022 MARZO 2023 COMPASS,CIG DERIVATO IN ADESIONE ACCORDO QUADRO ASSISTENZA MIGRANTI MARZO 2022 MARZO 2023 COMPASS,473611.95,473611.95,,,2022-03-28,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80003940451,PREFETTURA DI MASSA CARRARA UFFICIO TERRITORIALE DEL GOVERNO,SERVIZI GENERALI E ATTIVITA' CONTRATTUALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,365.0,AGGIUDICATA,probabile
9145878947,,1,GESTIONE DEI SERVIZI DI ASILO ACCOGLIENZA TUTELA E INTEGRAZIONE PER TITOLARI DI PROTEZIONE INTERNAZIONALE- IMPLEMANTAZIONE DI N 15 POSTI ORDINARI PER L'ANNO 2022,GESTIONE DEI SERVIZI DI ASILO ACCOGLIENZA TUTELA E INTEGRAZIONE PER TITOLARI DI PROTEZIONE INTERNAZIONALE- IMPLEMANTAZIONE DI N 15 POSTI ORDINARI PER L'ANNO 2022,210292.23,210292.23,BARLETTA-ANDRIA-TRANI,110002,2022-03-24,PROCEDURA APERTA,00741610729,COMUNE DI BARLETTA,SETTORE SERVIZI SOCIALI E SANITARI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,360.0,AGGIUDICATA,certa
A05969D527,,1,4^ AFFIDAMENTO SERVIZIO DI ALLOGGIAMENTO TEMPORANEO A QUADRIFOGLIO SRL PER EMERGENZA PROFUGHI UCRAINA COME DA OCDPC 872/2022,4^ AFFIDAMENTO SERVIZIO DI ALLOGGIAMENTO TEMPORANEO A QUADRIFOGLIO SRL PER EMERGENZA PROFUGHI UCRAINA COME DA OCDPC 872/2022,214900.0,214900.0,VARESE,012099,2022-03-15,AFFIDAMENTO DIRETTO,80050050154,REGIONE LOMBARDIA,"D.G. SICUREZZA, PROTEZIONE CIVILE E IMMIGRAZIONE",55110000-4,SERVIZI DI SISTEMAZIONE ALBERGHIERA,237.0,,certa
9142990A06,8904242CF0,1,GARA ACCOGLIENZA MIGRANTI - ATI GIRASOLE - CARITAS- N. 150 POSTI DAL 16.3.2022 AL 15.3.2023 RINNOVABILE PER UN ANNO,GARA ACCOGLIENZA MIGRANTI - ATI GIRASOLE - CARITAS- N. 150 POSTI DAL 16.3.2022 AL 15.3.2023 RINNOVABILE PER UN ANNO,5915847.0,5915847.0,,,2022-03-15,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80020830487,PREFETTURA DI FIRENZE,SERVIZI DI ATTIVITA' CONTRATTUALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,365.0,,probabile
91163298AC,8612333206,1,"AFFIDAMENTO DEL SERVIZIO PER LA REALIZZAZIONE DI 5 SPORTELLI INFORMATIVI E DI SUPPORTO ED UN PUNTO DI ACCESSO CENTRALE CON FUNZIONI DI COORDINAMENTO E FUNZIONI DI OSSERVATORIO TECNICO NELL'AMBITO DEL PROGETTO SAI CATEGORIA ORDINARI CIG: 8612333206 (LOTTO 2). IMPEGNO DI SPESA PARI A EURO 264.283,37 IVA INCLUSA PER IL PERIODO DAL 01 GENNAIO AL 31 DICEMBRE 2022.","AFFIDAMENTO DEL SERVIZIO PER LA REALIZZAZIONE DI 5 SPORTELLI INFORMATIVI E DI SUPPORTO ED UN PUNTO DI ACCESSO CENTRALE CON FUNZIONI DI COORDINAMENTO E FUNZIONI DI OSSERVATORIO TECNICO NELL'AMBITO DEL PROGETTO SAI CATEGORIA ORDINARI CIG: 8612333206 (LOTTO 2). IMPEGNO DI SPESA PARI A EURO 264.283,37 IVA INCLUSA PER IL PERIODO DAL 01 GENNAIO AL 31 DICEMBRE 2022.",175702.38,175702.38,GENOVA,010025,2022-03-10,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,00856930102,COMUNE DI GENOVA,SETTORE POLITICHE SOCIALI,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,365.0,AGGIUDICATA,certa
9243949C06,,1,ACCOGLIENZA MIGRANTI - FONDAZIONE SOLIDARIETÀ CARITAS ONLUS - N. 11 POSTI - FIRENZE DAL 20.5.2022 AL 31.3.2023,ACCOGLIENZA MIGRANTI - FONDAZIONE SOLIDARIETÀ CARITAS ONLUS - N. 11 POSTI - FIRENZE DAL 20.5.2022 AL 31.3.2023,94060.56,94060.56,,,2022-03-03,AFFIDAMENTO DIRETTO,80020830487,PREFETTURA DI FIRENZE,SERVIZI DI ATTIVITA' CONTRATTUALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,316.0,,probabile
9136325DE3,,1,SERVIZIO GESTIONE SPRAR,SERVIZIO GESTIONE SPRAR,89250.0,89250.0,REGGIO CALABRIA,080071,2022-03-01,AFFIDAMENTO DIRETTO,00255090805,COMUNE DI SAN GIORGIO MORGETO,UFFICIO TECNICO AREA 1,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,270.0,,certa
913962839F,,1,SERVIZIO DI NOLEGGIO URGENTE SERVIZI IGIENICI PER IL PUNTO DI PRIMA ACCOGLIENZA DEI PROFUGHI PROVENIENTI DA UCRAINA IN PIAZZA ARTOM C/O LOCALI IN COMODATO MERCAFIR.,SERVIZIO DI NOLEGGIO URGENTE SERVIZI IGIENICI PER IL PUNTO DI PRIMA ACCOGLIENZA DEI PROFUGHI PROVENIENTI DA UCRAINA IN PIAZZA ARTOM C/O LOCALI IN COMODATO MERCAFIR.,7600.0,7600.0,FIRENZE,048017,2022-03-14,AFFIDAMENTO DIRETTO,01386030488,REGIONE TOSCANA,SETTORE PROTEZIONE CIVILE REGIONALE,85142300-9,SERVIZI IGIENICI,60.0,,certa
9139388D8E,,1,"SERVIZIO DI PULIZIA URGENTE DEI LOCALI, E SERVIZI IGIENICI COLLEGATI, ADIBITI A PUNTO DI PRIMA ACCOGLIENZA DEI PROFUGHI PROVENIENTI DA UCRAINA IN PIAZZA ARTOM C/O LOCALI IN COMODATO MERCAFIR.","SERVIZIO DI PULIZIA URGENTE DEGLI UFFICI, E SERVIZI IGIENICI COLLEGATI, ADIBITI A PUNTO DI PRIMA ACCOGLIENZA DEI PROFUGHI PROVENIENTI DA UCRAINA IN PIAZZA ARTOM C/O LOCALI IN COMODATO MERCAFIR.",3720.0,3720.0,FIRENZE,048017,2022-03-14,AFFIDAMENTO DIRETTO,01386030488,REGIONE TOSCANA,SETTORE PROTEZIONE CIVILE REGIONALE,90911200-8,SERVIZI DI PULIZIA DI EDIFICI,60.0,AGGIUDICATA,certa
