cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
8244535582,,3,PROCEDURA APERTA PER L'AFFIDAMENTO DEI SERVIZI DI ACCOGLIENZA E INTEGRAZIONE DEGLI IMMIGRATI STRANIERI NELL'AMBITO DEL SISTEMA SIPROIMI TRIENNIO 2020/21/22 E SUDDIVISO IN TRE LOTTI FUNZIONALI,"LOTTO 2 - SOSTEGNO PSICOLOGICO, TRANSCULTURALE E LINGUISTICO",196500.0,1615500.0,,,2020-03-23,PROCEDURA APERTA,93049320208,PROGETTO SOLIDAIRETA ,AMMINISTRAZIONE,85320000-8,SERVIZI SOCIALI,0.0,AGGIUDICATA,certa
8250248008,,1,EROGAZIONE CONTRIBUTO FONDO NAZIONALE ACCOGLIENZA MSNA 3^ TRIMESTRE 2019 I.E.A. SANTA CHIARA,EROGAZIONE CONTRIBUTO FONDO NAZIONALE ACCOGLIENZA MSNA 3^ TRIMESTRE 2019 I.E.A. SANTA CHIARA,60120.0,60120.0,,086006,2020-03-18,AFFIDAMENTO DIRETTO,80001380866,COMUNE CATENANUOVA,RESPONSABILE SETTORE SERVIZI SOCIALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,0.0,,certa
818051782E,,1,ACCOGLIENZA MINORI STRANIERI NON ACCOMPAGNATI (MSNA) BIMBOPOLI 2020,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,120000.0,120000.0,,,2020-03-09,AFFIDAMENTO DIRETTO,80000330656,COMUNE DI SALERNO,SETTORE POLITICHE SOCIALI E PUBBLICA ISTRUZIONE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,certa
81807990E7,,1,ACCOGLIENZA MINORI STRANIERI NON ACCOMPAGNATI (MSNA) LA PROVVIDENZA 2020,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,240000.0,240000.0,,,2020-03-09,AFFIDAMENTO DIRETTO,80000330656,COMUNE DI SALERNO,SETTORE POLITICHE SOCIALI E PUBBLICA ISTRUZIONE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,certa
8234889D5E,,1,ACCOGLIENZA DI N. 1 MINORE STRANIERO NON ACCOMPAGNATO IN COMUNITA' EDUCATIVA IN REGIME RESIDENZIALE IN ROBBIATE,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,18745.0,18745.0,,013075,2020-03-05,AFFIDAMENTO DIRETTO,80005370137,COMUNE DI COMO,N. 22 SETTORE SERVIZI SOCIALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,0.0,,certa
829038956D,79032174FC,1,CONVENZIONE PER L,CONVENZIONE PER L'AFFIDAMENTO DEL SERVIZIO DI 'PRIMA ACCOGLIENZA DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE E LA GESTIONE DEI SERVIZI CONNESSI'. PERIODO 1/11/2019- 31/10/2020. ,863353.09,863353.09,VARESE,012133,2020-03-18,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80014740122,PREFETTURA,U.T.G. PREFETTURA DI VARESE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,certa
820364345D,,1,RIPETIZIONE DEL SERVIZIO DI ACCOGLIENZA A RICHIEDENTI/TITOLARI DI PROTEZIONE INTERNAZIONALE O TITOLARI DI PROTEZIONE UMANITARIA NELL'AMBITO DEL PROGETTO SPRAR - IN STRUTTURE NELLA DISPONIBILITÀ DEL COMUNE - LOTTO 1,RIPETIZIONE DEL SERVIZIO DI ACCOGLIENZA A RICHIEDENTI/TITOLARI DI PROTEZIONE INTERNAZIONALE O TITOLARI DI PROTEZIONE UMANITARIA NELL'AMBITO DEL PROGETTO SPRAR - IN STRUTTURE NELLA DISPONIBILITÀ DEL COMUNE - LOTTO 1,873905.76,873905.76,MILANO,015146,2020-03-20,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,01199250158,COMUNE DI MILANO,DIREZIONE CENTRALE FAMIGLIA SCUOLA E POLITICHE SOCIALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,certa
818082565A,,1,ACCOGLIENZA MINORI STRANIERI NON ACCOMPAGNATI (MSNA) ONMIC 2020,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,120000.0,120000.0,,,2020-03-09,AFFIDAMENTO DIRETTO,80000330656,COMUNE DI SALERNO,SETTORE POLITICHE SOCIALI E PUBBLICA ISTRUZIONE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,certa
8180819168,,1,ACCOGLIENZA MINORI STRANIERI NON ACCOMPAGNATI (MSNA) LA TAVOLA ROTONDA 2020,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,220000.0,220000.0,,,2020-03-09,AFFIDAMENTO DIRETTO,80000330656,COMUNE DI SALERNO,SETTORE POLITICHE SOCIALI E PUBBLICA ISTRUZIONE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,certa
8258035A0E,,1,SERVIZIO PER L'EROGAZIONE DI PERCORSI DI FORMAZIONE CIVICA DEI RICHIEDENTI ASILO E RIFUGIATI OSPITI NEI CAS DELLA REGIONE PIEMONTE BENEFICIARI DEL PROGETTO FORWORK ,SERVIZIO PER L'EROGAZIONE DI PERCORSI DI FORMAZIONE CIVICA DEI RICHIEDENTI ASILO E RIFUGIATI OSPITI NEI CAS DELLA REGIONE PIEMONTE BENEFICIARI DEL PROGETTO FORWORK ,105000.0,105000.0,TORINO,001272,2020-03-30,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,97595380011,AGENZIA PIEMONTE LAVORO,APL,80530000-8,SERVIZI DI FORMAZIONE PROFESSIONALE,0.0,AGGIUDICATA,certa
