cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
9074370703,,1,ACCOGLIENZA DI MINORI E MSNA PRESSO STRUTTURE DI ACCOGLIENZA COMUNITARIA - EDUCAMONDO SOCIETÀ COOPERATIVA SOCIALE - GENNAIO-MARZO 2022,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,61000.0,61000.0,NOVARA,003106,2022-02-03,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,00125680033,COMUNE DI NOVARA,SERVIZIO SERVIZI POLITICHE SOCIALI E DELLA CASA,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,90.0,AGGIUDICATA,certa
9172503CEB,,1,AFFIDAMENTO SERVIZIO ACCOGLIENZA E ASSISTENZA DEI MIGRANTI UCRAINI GIUNTI SUL TERRITORIO NAZIONALE,AFFIDAMENTO SERVIZIO ACCOGLIENZA E ASSISTENZA DEI MIGRANTI UCRAINI GIUNTI SUL TERRITORIO NAZIONALE,226250.0,226250.0,MILANO,015171,2022-02-11,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80101570150,COMUNE DI PESCHIERA BORROMEO,SERVIZI SOCIO EDUCATIVI,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,275.0,AGGIUDICATA,probabile
903439174C,,1,"PROCEDURA DI SELEZIONE AD EVIDENZA PUBBLICA PER L'INDIVIDUAZIONE DI UN SOGGETTO PARTNER E GESTORE DEI SERVIZI DI ACCOGLIENZA, INTEGRAZIONE E TUTELA RIVOLTI AI RICHIEDENTI PROTEZIONE INTERNAZIONALE NELL'AMBITO DI UN PROGETTO TERRITORIALE ADERENTE AL SISTEMA DI ACCOGLIENZA E INTEGRAZIONE SAI (EX SIPROIMI/ SPRAR) PER IL TRIENNIO DI FINANZIAMENTO 2021/2023 (IN PROSECUZIONE DAL TRIENNIO 2018/2020) - 'CATEGORIA ORDINARI' - ANNUALITÀ 2022 E 2023.","PROCEDURA DI SELEZIONE AD EVIDENZA PUBBLICA PER L'INDIVIDUAZIONE DI UN SOGGETTO PARTNER E GESTORE DEI SERVIZI DI ACCOGLIENZA, INTEGRAZIONE E TUTELA RIVOLTI AI RICHIEDENTI PROTEZIONE INTERNAZIONALE NELL'AMBITO DI UN PROGETTO TERRITORIALE ADERENTE AL SISTEMA DI ACCOGLIENZA E INTEGRAZIONE SAI (EX SIPROIMI/ SPRAR) PER IL TRIENNIO DI FINANZIAMENTO 2021/2023 (IN PROSECUZIONE DAL TRIENNIO 2018/2020) - 'CATEGORIA ORDINARI' - ANNUALITÀ 2022 E 2023.",1916127.9,1916127.9,,075038,2022-02-10,PROCEDURA APERTA,80010200758,COMUNE DI LIZZANELLO,SERVIZIO ECONOMICO FINANZIARIO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,48.0,,certa
9109987717,,1,"AFFIDAMENTO, AI SENSI DELL'ART. 36, COMMA 2, LETT. A) DEL D. LGS 50/2016 E S.M.I., DEL SERVIZIO DI ACCOGLIENZA, IN GESTIONE TEMPORANEA DIURNA E NOTTURNA, DI MASSIMO N. 50 MINORI STRANIERI NON ACCOMPAGNATI, PRESSO LA STRUTTURA DI PROPRIETÀ DELL'AMMINISTRAZIONE COMUNALE SITA IN VIALE F. TESTI 302/A - MILANO. &#8195;",Oggetto non pubblicabile a causa della potenziale presenza di dati personali,257142.86,257142.86,MILANO,015146,2022-02-10,AFFIDAMENTO DIRETTO,01199250158,COMUNE DI MILANO,DIREZIONE CENTRALE FAMIGLIA SCUOLA E POLITICHE SOCIALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,60.0,AGGIUDICATA,certa
9156876D1C,,1,ACCOGLIENZA MIGRANTI - MISERICORDIA DI CERTALDO - N. 20 POSTI DAL 24.3.2022 AL 30.11.2022,ACCOGLIENZA MIGRANTI - MISERICORDIA DI CERTALDO - N. 20 POSTI DAL 24.3.2022 AL 30.11.2022,135791.0,135791.0,,,2022-02-03,AFFIDAMENTO DIRETTO,80020830487,PREFETTURA DI FIRENZE,SERVIZI DI ATTIVITA' CONTRATTUALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,251.0,,probabile
91124496CC,,1,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE BIENNIO 2022-2024,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE BIENNIO 2022-2024,10129450,10129450,PESCARA,068028,2022-02-28,PROCEDURA APERTA,80007010681,PREFETTURA DI PESCARA,SERVIZIO CONTABILITA' E GESTIONE FINANZIARIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,730.0,AGGIUDICATA,certa
90935781F6,,1,SERVIZIO DI ACCOGLIENZA MSNA -PROCEDURA APERTA - PERIODO PRESUNTO MARZO 2022/2023,SERVIZIO DI ACCOGLIENZA MSNA -PROCEDURA APERTA - PERIODO PRESUNTO MARZO 2022/2023,785790.25,785790.25,,,2022-02-14,PROCEDURA APERTA,80002330621,PREFETTURA UFFICIO TERRITORIALE DEL GOVERNO DI BN,PREFETTURA UTG DI BENEVENTO,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,365.0,AGGIUDICATA,certa
9088374B79,,1,INTERVENTI DI TUTELA E PROTEZIONE DI MINORI STRANIERI NON ACCOMPAGNATI O ALLONTANATI DALLA FAMIGLIA E DI DONNE ANCHE CON PROLE CON ACCOGLIENZA PRESSO STRUTTURE RESIDENZIALI AUTORIZZATE AI SENSI DI LEGGE INDIVIDUATE DALL'ELENCO COMUNALE APERTO DI CUI ALL'AVVISO PUBBLICO DEL 19/06/2020 - IMPEGNO DI SPESA ANNO 2022 - COOPERATIVA SOCIALE LABIRINTO. DT. N. 145/2022,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,87846.9,87846.9,,,2022-02-09,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,00272430414,COMUNE DI PESARO,GESTIONE ATTIVITA' SERVIZIO SOCIO PROFESSIONALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,365.0,AGGIUDICATA,certa
9078923445,882179250E,1,SERVIZIO DI GESTIONE DI CENTRI DI ACCOGLIENZA PER STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE IN UNITA' ABITATIVE,SERVIZIO DI GESTIONE DI CENTRI DI ACCOGLIENZA PER STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE IN UNITA' ABITATIVE,3185561.28,3185561.28,,,2022-02-28,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80006840393,PREFETTURA - UFFICIO TERRITORIALE DEL GOVERNO DI RAVENNA,PREFETTURA - UFFICIO TERRITORIALE DEL GOVERNO DI RAVENNA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,365.0,,certa
9088337CF0,,1,INTERVENTI DI TUTELA E PROTEZIONE DI MINORI STRANIERI NON ACCOMPAGNATI O ALLONTANATI DALLA FAMIGLIA E DI DONNE ANCHE CON PROLE CON ACCOGLIENZA PRESSO STRUTTURE RESIDENZIALI AUTORIZZATE AI SENSI DI LEGGE INDIVIDUATE DALL'ELENCO COMUNALE APERTO DI CUI ALL'AVVISO PUBBLICO DEL 19/06/2020 - IMPEGNO DI SPESA ANNO 2022 - PROVINCIA RELIGIOSA SAN BENEDETTO DON ORIONE. DT. N. 145/2022,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,47450.0,47450.0,,,2022-02-09,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,00272430414,COMUNE DI PESARO,GESTIONE ATTIVITA' SERVIZIO SOCIO PROFESSIONALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,365.0,AGGIUDICATA,certa
9080813BF0,8839254F24,1,ACCORDO QUADRO MULTILOTTO CON PIU' OPERATORI PER LAGESTIONE DELL'ACCOGLIENZA DI MINORI STRANIERI NONACCOMPAGNATI E NEOMAGGIORENNI. LOTTO 4. PRIMO CONTRATTOATTUATIVO,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,317290.88,317290.88,,,2022-02-01,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80005370137,COMUNE DI COMO,N. 22 SETTORE SERVIZI SOCIALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,304.0,AGGIUDICATA,probabile
907099343A,8753168EBA,4,SERVIZI DI ACCOGLIENZA E STRANIERA DI CITTADINI STRANIERI PRESSO CENTRI COLLETTIVI NEL BIENNIO 2021-2023 ,CONVENZIONE SERVIZI ACCOGLIENZA E ASSISTENZA CITTADINI STRANIERI PRESSO CENTRI COLLETTIVI -- ANNUALITÀ 20222-2023 - N. 2,475084.0,2358353.0,,,2022-02-01,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80004920064,PREFETTURA UFFICIO TERRITORIALE DEL GOVERNO,SERV. I,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,365.0,AGGIUDICATA,probabile
909204728A,,1,ACCOGLIENZA MIGRANTI,ACCOGLIENZA MIGRANTI,120492.0,120492.0,,052032,2022-02-01,AFFIDAMENTO DIRETTO,80007860523,PREFETTURA DI SIENA,MINISTERO DELL'INTERNO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,150.0,,probabile
