cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
81745858F0,,1,ACCOGLIENZA DI N. 1 MINORE STRANIERO NON ACCOMPAGNATO M.A.A.E. IN COMUNITA' EDUCATIVA IN REGIME RESIDENZIALE SITA IN ROGENO,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,39884.0,39884.0,,013075,2020-02-28,AFFIDAMENTO DIRETTO,80005370137,COMUNE DI COMO,N. 22 SETTORE SERVIZI SOCIALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,0.0,,certa
820207780E,7833292D0A,1,DITTA AMP -SERVIZIO ACCOGLIENZA MIGRANTI PER CENTRI DA 51 A 300 POSTI,DITTA AMP -SERVIZIO ACCOGLIENZA MIGRANTI PER CENTRI DA 51 A 300 POSTI,1830542.51,1830542.51,,090074,2020-02-01,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80001220906,PREFETTURA DI SASSARI,PREFETTURA DI SASSARI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,probabile
8185941436,,1,ACCOGLIENZA MINORI STRANIERI NON ACCOMPAGNATI IN COMUNITA' EDUCATIVA IN REGIME RESIDENZIALE,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,35010.0,35010.0,,013075,2020-02-04,AFFIDAMENTO DIRETTO,80005370137,COMUNE DI COMO,N. 22 SETTORE SERVIZI SOCIALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,0.0,,certa
8176070268,,1,ACCOGLIENZA DI N. 1 MINORE STRANIERO NON ACCOMPAGNATO L-S. IN COMUNITA,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,39884.0,39884.0,,013075,2020-02-28,AFFIDAMENTO DIRETTO,80005370137,COMUNE DI COMO,N. 22 SETTORE SERVIZI SOCIALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,0.0,,certa
8176031239,,1,ACCOGLIENZA DI N. 1 MINORE STRANIERO NON ACCOMPAGNATO M.M. IN COMUNITA' EDUCATIVA IN REGIME RESIDENZIALE,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,39884.0,39884.0,,013075,2020-02-28,AFFIDAMENTO DIRETTO,80005370137,COMUNE DI COMO,N. 22 SETTORE SERVIZI SOCIALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,0.0,,certa
8155964269,,1,SERVIZIO DI RICOVERO MINORI STRANIERI NON ACCOMPAGNATI 4^ TRIMESTRE 2017 - COOP. SOCIALE IL LIBERO GABBIANO,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,52114.29,52114.29,,,2020-02-11,AFFIDAMENTO DIRETTO,81000410845,COMUNE DI LICATA,SERVIZI SOCIALI E CULTURALI,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,0.0,,certa
81972790A1,,1,ACCOGLIENZA DI N. 1 MINORE STRANIERO NON ACCOMPAGNATO N.M. IN COMUNITA' EDUCATIVA IN REGIME RESIDENZIALE IN SUARDI,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,12635.0,12635.0,,013075,2020-02-04,AFFIDAMENTO DIRETTO,80005370137,COMUNE DI COMO,N. 22 SETTORE SERVIZI SOCIALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,0.0,,certa
81799460FC,,1,SERVIZIO PER L'EROGAZIONE DI LABORATORI TEMATICI PROFESSIONALIZZANTI CON RINFORZO DELLE COMPETENZE LINGUISTICHE SPECIFICHE RIVOLTI A RICHIEDENTI ASILO E RIFUGIATI OSPITI NEI CAS DELLA REGIONE PIEMONTE BENEFICIARI DEL PROGETTO FORWORK ,SERVIZIO PER L'EROGAZIONE DI LABORATORI TEMATICI PROFESSIONALIZZANTI CON RINFORZO DELLE COMPETENZE LINGUISTICHE SPECIFICHE RIVOLTI A RICHIEDENTI ASILO E RIFUGIATI OSPITI NEI CAS DELLA REGIONE PIEMONTE BENEFICIARI DEL PROGETTO FORWORK ,210000.0,210000.0,TORINO,001272,2020-02-03,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,97595380011,AGENZIA PIEMONTE LAVORO,APL,80530000-8,SERVIZI DI FORMAZIONE PROFESSIONALE,0.0,AGGIUDICATA,certa
820579436D,,1,PROCEDURA NEGOZIATA PER AFFIDAMENTO SERVIZI DI ACCOGLIENZA IN FAVORE DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE PRESSO CENTRI COLLETTIVI,PROCEDURA NEGOZIATA PER AFFIDAMENTO SERVIZI DI ACCOGLIENZA IN FAVORE DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE PRESSO CENTRI COLLETTIVI,3269950.0,3269950.0,,,2020-02-13,PROCEDURA RISTRETTA,80004780401,MINISTERO INTERNO-PREFETTURA,PREFETTURA DI FORLI'-CESENA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,365.0,,certa
8174531C5F,,1,ACCOGLIENZA DI N. 1 MINORE STRANIERO NON ACCOMPAGNATO A.H. IN COMUNITA' EDUCATIVA IN REGIME RESIDENZIALE SITA IN ROGENO,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,39884.0,39884.0,,013075,2020-02-28,AFFIDAMENTO DIRETTO,80005370137,COMUNE DI COMO,N. 22 SETTORE SERVIZI SOCIALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,0.0,,certa
