cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
6709702D3D,6544044BEF,1,POSTI TEMPORANEI DI ACCOGLIENZA PER CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE ANNO 2016 II CONVENZIONE,POSTI TEMPORANEI DI ACCOGLIENZA PER CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE ANNO 2016 II CONVENZIONE,499133.25,499133.25,,,2016-05-31,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,97420690584,DIP.TO POLITICHE PERS. AMM.NE CIV. E RIS. STRUM.LI E FIN.,UFFICIO IV - INNOVAZIONE TECNOLOGICA PER L'AMMINISTRAZIONE GENERALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,certa
67481437C3,,1,PROROGA TECNICA CONTRATTO ACCOGLIENZA MIGRANTI GIUGNO LUGLIO 2016 HOTEL ZENO,PROROGA TECNICA CONTRATTO ACCOGLIENZA MIGRANTI GIUGNO LUGLIO 2016 HOTEL ZENO,47702.0,47702.0,MASSA-CARRARA,045011,2016-05-23,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,80003940451,PREFETTURA DI MASSA CARRARA UFFICIO TERRITORIALE DEL GOVERNO,SERVIZI GENERALI E ATTIVITA' CONTRATTUALE,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,,AGGIUDICATA,probabile
6691523377,65629952CE,1,SERVIZIO DI ACCOGLIENZA DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE,SERVIZIO DI ACCOGLIENZA DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE,80127.0,80127.0,LA SPEZIA,011015,2016-05-19,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80005150117,PREFETTURA DI LA SPEZIA,PREFETTURA DELLA SPEZIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
6644647829,652716314E,1,ATTO AGGIUNTIVO DELLA CONVENZIONE PER ACCOGLIENZA CITTADINI STRANIERI (1^ APRILE 2016-31 DICEMBRE 2016),ATTO AGGIUNTIVO DELLA CONVENZIONE PER ACCOGLIENZA CITTADINI STRANIERI (1^ APRILE 2016-31 DICEMBRE 2016),1158300.0,1158300.0,,036023,2016-05-12,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80001270364,PREFETTURA U.T.G. DI MODENA,SERVIZIO CONTABILITA E GESTIONE FINANZIARIA,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,,,probabile
6683568EC7,,1,ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI ASILO E PROTEZIONE INTERNAZIONALE MAGGIO/AGOSTO 2016,ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI ASILO E PROTEZIONE INTERNAZIONALE MAGGIO/AGOSTO 2016,259284.0,259284.0,LECCO,097007,2016-05-05,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,01409210133,COMUNITA' MONTANA VALSASSINA VALVARRONE VAL D'ESINO RIVIERA,SERVIZI ALLA PERSONA,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,,AGGIUDICATA,certa
6701421B8B,,1,SERVIZI DI ACCOGLIENZA A FAVORE DEI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE - PROCEDURA NEGOZIATA IN VIA D'URGENZA ART. 63 COMMA 2 LETT. C) D LGS 50/2016 ,SERVIZI DI ACCOGLIENZA A FAVORE DEI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE - PROCEDURA NEGOZIATA IN VIA D'URGENZA ART. 63 COMMA 2 LETT. C) D LGS 50/2016 ,1831200.0,1831200.0,,,2016-05-24,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,95126450162,MINISTERO DELL INTERNO - PREFETTURA DI BERGAMO,UFFICIO CONTRATTI,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,,AGGIUDICATA,certa
6688218C15,,1,LIQUIDAZIONE RETTE RICOVERO MSNA 3^ TRIMESTRE 2015 COOP. SOC. ANTARES,LIQUIDAZIONE RETTE RICOVERO MSNA 3^ TRIMESTRE 2015 COOP. SOC. ANTARES,47120.19,47120.19,AGRIGENTO,084001,2016-05-09,AFFIDAMENTO DIRETTO,00074260845,COMUNE DI AGRIGENTO,UFFICIO SERVIZIO SOCIALE,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,,AGGIUDICATA,certa
66271365A1,,1,SERVIZIO ACCOGLIENZA MINORI STRANIERI NON ACCOMPAGNATI,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,162655.97,162655.97,,084021,2016-05-16,AFFIDAMENTO DIRETTO,81000410845,COMUNE DI LICATA,DIPARTIMENTO N.1 - AREA AMMINISTRATIVA,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,,,certa
669443240C,6530394B99,1,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI - PERIODO 1 GIUGNO 2016 - 31 DICEMBRE 2016 + PROORGA TECNICA AL 31.3.2017- ANNI VERDI,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI - PERIODO 1 GIUGNO 2016 - 31 DICEMBRE 2016 + PROORGA TECNICA AL 31.03.2017- ANNI VERDI,290000.0,290000.0,,018110,2016-05-31,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80005580180,PREFETTURA U.T.G. DI PAVIA,SERVIZI GENERALI - ATTIVITA' CONTTRATTUALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,probabile
6701944B23,6530394B99,1,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI - PERIODO 1 GIUGNO 2016 - 31 DICEMBRE 2016+ PROROGA TECNICA AL 31.3.2017 MILANO SOLIDALE,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI - PERIODO 1 GIUGNO 2016 - 31 DICEMBRE 2016 + PROROGA TECNICA AL 31.3.2017- MILANO SOLIDALE,410000.0,410000.0,,018110,2016-05-31,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80005580180,PREFETTURA U.T.G. DI PAVIA,SERVIZI GENERALI - ATTIVITA' CONTTRATTUALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,probabile
6692928AE6,6530394B99,1,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI - PERIODO 1 GIUGNO 2016 - 31 DICEMBRE 2016 + PROROGA TECNICA AL 31.3.2017 - LA COLLINA DEGLI ACERI,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI - PERIODO 1 GIUGNO 2016 - 31 DICEMBRE 2016 + PROROGA TECNICA AL 31.3.2017- LA COLLINA DEGLI ACERI,191000.0,191000.0,,018110,2016-05-31,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80005580180,PREFETTURA U.T.G. DI PAVIA,SERVIZI GENERALI - ATTIVITA' CONTTRATTUALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,probabile
6690953D13,,1,ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE - 15/3 - 31/12/2016 X 6 OSPITI - OLIVOTTI,ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE - 15/3 - 31/12/2016 X 6 OSPITI - OLIVOTTI,58692.0,58692.0,VENEZIA,027023,2016-05-11,AFFIDAMENTO DIRETTO,80215430580,MINISTERO DELL'INTERNO - DIPARTIMENTO PER LE LIBERTA' CIVILI E L'IMMIGRAZIONE,PREFETTURA DI VENEZIA - UTG,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,,AGGIUDICATA,certa
6954824652,652716314E,1,SERVIZIO ACCOGLIENZA MIGRANTI,SERVIZIO ACCOGLIENZA MIGRANTI,5800410.0,5800410.0,,036023,2016-05-12,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80001270364,PREFETTURA U.T.G. DI MODENA,SERVIZIO CONTABILITA E GESTIONE FINANZIARIA,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,,,probabile
6747396F4F,,1,PROROGA TECNICA CONTRATTO ACC.MIGRANTI GIUGNO LUGLIO 2016 CASA FACI,PROROGA TECNICA CONTRATTO ACC.MIGRANTI GIUGNO LUGLIO 2016 CASA FACI,141493.8,141493.8,MASSA-CARRARA,045010,2016-05-23,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,80003940451,PREFETTURA DI MASSA CARRARA UFFICIO TERRITORIALE DEL GOVERNO,SERVIZI GENERALI E ATTIVITA' CONTRATTUALE,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,,AGGIUDICATA,probabile
6651862A2A,,1,PROGRAMMA NAZIONALE PER L'ACCOGLIENZA E L'ASSISTENZA A FAVORE DI RICHIEDENTI E TITOLARI DI PROTEZIONE INTERNAZIONALE E UMANITARIA CATEGORIE VULNERABILI - PROSECUZIONE - ANNO 2016,PROGRAMMA NAZIONALE PER L'ACCOGLIENZA E L'ASSISTENZA A FAVORE DI RICHIEDENTI E TITOLARI DI PROTEZIONE INTERNAZIONALE E UMANITARIA CATEGORIE VULNERABILI - PROSECUZIONE - ANNO 2016,392544.0,392544.0,GENOVA,010025,2016-05-26,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,00856930102,COMUNE DI GENOVA,SETTORE POLITICHE SOCIALI,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,,AGGIUDICATA,certa
6722361BC7,6544044BEF,1,III CONVENZIONE PER ACCOGLIENZA MIGRANTI ANNO 2016,III CONVENZIONE PER ACCOGLIENZA MIGRANTI ANNO 2016,247401.0,247401.0,,,2016-05-09,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,97420690584,DIP.TO POLITICHE PERS. AMM.NE CIV. E RIS. STRUM.LI E FIN.,UFFICIO IV - INNOVAZIONE TECNOLOGICA PER L'AMMINISTRAZIONE GENERALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,probabile
6694595A8D,6530394B99,1,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI - PERIODO 1 GIUGNO 2016 - 31 DICEMBRE 2016 + PROROGA TECNICA AL 31.3.2017 COOP DESY,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI - PERIODO 1 GIUGNO 2016 - 31 DICEMBRE 2016 + PROROGA TECNICA AL 31.3.2017- COOP DESY,20000.0,20000.0,,018110,2016-05-31,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80005580180,PREFETTURA U.T.G. DI PAVIA,SERVIZI GENERALI - ATTIVITA' CONTTRATTUALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,probabile
