cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
647831282D,,1,PROGETTO ,PROGETTO 'HOPELAND'. SERVIZIO SOSTEGNO PER RICHIEDENTI ASILO E RIFUGIATI. FONDO EROGAZIONE INTERVENTI ECONOMICI.,160000.0,160000.0,TORINO,001272,2015-11-26,AFFIDAMENTO DIRETTO,00514490010,COMUNE DI TORINO,07 - DIVISIONE SERVIZI SOCIALI / SOCIO SANITARI / ABITATIVI E LAVORO,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,,AGGIUDICATA,certa
6486943AB3,6415018053,1,AFFIDAMENTO DEL SERVIZIO DI TEMPORANEA ACCOGLIENZA IN FAVORE DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE,AFFIDAMENTO DEL SERVIZIO DI TEMPORANEA ACCOGLIENZA IN FAVORE DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE,201300.0,201300.0,,073027,2015-11-30,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80011530732,PREFETTURA TARANTO,AREA SERVIZI COMUNI,98130000-3,SERVIZI VARI DI ORGANIZZAZIONI ASSOCIATIVE,,,certa
6490068D87,,1,TRASFERIMENTO CITTADINI STRANIERI RICHIEDENTI ASILO,TRASFERIMENTO CITTADINI STRANIERI RICHIEDENTI ASILO,3286.15,3286.15,,031007,2015-11-26,AFFIDAMENTO DIRETTO,80002480319,PREFETTURA DI GORIZIA,UFFICIO CONTRATTI,34980000-0,BIGLIETTI DI TRASPORTO,,,certa
64896314EA,,2,"PROROGA DELLE CONVENZIONI CON LA PREFETTURA-UFFICIO TERRITORIALE DEL GOVERNO DI TRIESTE, L'ICS-CONSORZIO ITALIANO DI SOLIDARIETÀ-UFFICIO RIFUGIATI DI TRIESTE-ONLUS E LA FONDAZIONE DIOCESANA CARITAS TRIESTE ONLUS PER LA GESTIONE DEI SERVIZI DI ACCOGLIENZA DEI CITTADINI STRANIERI RICHIEDENTI ASILO TEMPORANEAMENTE PRESENTI SUL TERRITORIO DELLA PROVINCIA DI TRIESTE.PRIMO ACCERTAMENTO DI EURO 428.370,00 E PRIMO IMPEGNO DI SPESA DI EURO 428.370,00-PERIODO 01/01/2016-29/02/2016.","PROROGA DELLE CONVENZIONI CON LA PREFETTURA-UFFICIO TERRITORIALE DEL GOVERNO DI TRIESTE, L'ICS-CONSORZIO ITALIANO DI SOLIDARIETÀ-UFFICIO RIFUGIATI DI TRIESTE-ONLUS E LA FONDAZIONE DIOCESANA CARITAS TRIESTE ONLUS PER LA GESTIONE DEI SERVIZI DI ACCOGLIENZA DEI CITTADINI STRANIERI RICHIEDENTI ASILO TEMPORANEAMENTE PRESENTI SUL TERRITORIO DELLA PROVINCIA DI TRIESTE.PRIMO ACCERTAMENTO DI EURO 428.370,00 E PRIMO IMPEGNO DI SPESA DI EURO 428.370,00-PERIODO 01/01/2016-29/02/2016.",350000.0,428370.0,,032006,2015-11-24,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,00210240321,COMUNE DI TRIESTE,SERVIZIO STRUTTURE E INTERVENTI PER DISABILIT' CASA INSERIMENTO LAVORATIVO E ACCOGLIENZA,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,,AGGIUDICATA,certa
673712429A,,1,"GESTIONE DEI SERVIZI DI ACCOGLIENZA, INTEGRAZIONE E TUTELA RIVOLTI AI BENEFICIARI DEL PROGETTO TERRITORIALE ADERENTE AL SISTEMA DI PROTEZIONE PER RICHIEDENTI ASILO E RIFUGIATI (S.P.R.A.R.).","GESTIONE DEI SERVIZI DI ACCOGLIENZA, INTEGRAZIONE E TUTELA RIVOLTI AI BENEFICIARI DEL PROGETTO TERRITORIALE ADERENTE AL SISTEMA DI PROTEZIONE PER RICHIEDENTI ASILO E RIFUGIATI (S.P.R.A.R.).",709275.0,709275.0,,001171,2015-11-25,PROCEDURA APERTA,95551120017,CONSORZIO INTERCOMUNALE DI SERVIZI,DIREZIONE GENERALE,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,,AGGIUDICATA,certa
6494195B3D,,1,AFFIDAMENTO ALLA SOCIETÀ COOP.VA SOCIALE W.A.L.L. DEL SERVIZIO DI ACCOGLIENZA MIGRANTI - PERIODO 1^ DICEMBRE 2015 / 31 DICEMBRE 2015,AFFIDAMENTO ALLA SOCIETÀ COOP.VA SOCIALE W.A.L.L. DEL SERVIZIO DI ACCOGLIENZA MIGRANTI - PERIODO 1^ DICEMBRE 2015 / 31 DICEMBRE 2015,16845.4,16845.4,,076063,2015-11-30,AFFIDAMENTO DIRETTO,80005560760,PREFETTURA DI POTENZA,PREFETTURA POTENZA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,probabile
6440921028,,1,SERVIZIO DI EROGAZIONE PASTI PER IMMIGRATI RICHIEDENTI PROTEZIONE INTERNAZIONALE,SERVIZIO DI EROGAZIONE PASTI PER IMMIGRATI RICHIEDENTI PROTEZIONE INTERNAZIONALE,133636.36,133636.36,,080063,2015-11-12,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,00136380805,COMUNE DI REGGIO CALABRIA,SEGRETERIA GENERALE,55521200-0,SERVIZIO DI FORNITURA PASTI,,,certa
64871093B2,6415018053,1,AFFIDAMENTO DEL SERVIZIO DI TEMPORANEA ACCOGLIENZA IN FAVORE DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE,AFFIDAMENTO DEL SERVIZIO DI TEMPORANEA ACCOGLIENZA IN FAVORE DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE,53176.75,53176.75,,073027,2015-11-25,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80011530732,PREFETTURA TARANTO,AREA SERVIZI COMUNI,98130000-3,SERVIZI VARI DI ORGANIZZAZIONI ASSOCIATIVE,,,certa
63401422B1,,1,COLOCAMENTO MINORI STRANIERI,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,3636.0,3636.0,,020055,2015-11-03,AFFIDAMENTO DIRETTO,00272230202,COMUNE DI SAN BENEDETTO PO,SETTORE SERVIZI ALLA PERSONA ALLE IMPRESE E POLIZIA LOCALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,probabile
6470796DC5,,1,INTERVENTI A FAVORE DI RICHIEDENTI E TITOLARI DI PROTEZIONE INTERNAZIONALE PER L'ANNO 2016,INTERVENTI A FAVORE DI RICHIEDENTI E TITOLARI DI PROTEZIONE INTERNAZIONALE PER L'ANNO 2016,204745.0,204745.0,VERONA,023091,2015-11-16,AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,00215150236,COMUNE DI VERONA,A03 SERVIZI SOCIALI E INTEGRAZIONE SOCIOSANITARIA - PROMOZIONE LAVORO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
