cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
6515709529,,1,SERVIZIO ACCOGLIENZA IMMIGRATI SISTEMA SPRAR AGGIUNTIVI 4 APRI/ 31 DIC. 2015 CENTRO SANTA RITA,SERVIZIO ACCOGLIENZA IMMIGRATI SISTEMA SPRAR AGGIUNTIVI 4 APRI/ 31 DIC. 2015 CENTRO SANTA RITA,10307.69,10307.69,,,2015-12-14,AFFIDAMENTO DIRETTO,02438750586,ROMA CAPITALE,DIPARTIMENTO V U.O. IMMIGRAZIONE E INCLUSIONE SOCIALE,98130000-3,SERVIZI VARI DI ORGANIZZAZIONI ASSOCIATIVE,,,certa
6486245AB1,6370556D1B,1,SERVIZIO ACCOGLIENZA CITTADINI STRANIERI - PERIODO DAL 15 NOVEMBRE 2015 AL 31 DICEMBRE 2015 + PRROGA TECNICA - HOTEL ITALIA (SASSI CAROLINA),SERVIZIO ACCOGLIENZA CITTADINI STRANIERI - PERIODO DAL 15 NOVEMBRE 2015 AL 31 DICEMBRE 2015 - HOTEL ITALIA (SASSI CAROLINA),50285.0,50285.0,,018110,2015-12-18,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80005580180,PREFETTURA U.T.G. DI PAVIA,SERVIZI GENERALI - ATTIVITA' CONTTRATTUALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,probabile
65353651CF,,1,GESTIONE CENTRO DI ACCOGLIENZA PROFUGHI,GESTIONE CENTRO DI ACCOGLIENZA PROFUGHI,207000.0,207000.0,TORINO,001272,2015-12-23,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,80089610010,PREFETTURA-UFFICIO TERRITORIALE DEL GOVERNO DI TORINO,SERVIZIO 1,75240000-0,SERVIZI DI PUBBLICA SICUREZZA E DI ORDINE PUBBLICO,,AGGIUDICATA,certa
6524853F04,,1,SERVIZIO DI ACCOGLIENZA DI CITTADINI STRANIERI RICHIEDENTI ASILO - SISTEMA AURA - ANNO 2016,SERVIZIO DI ACCOGLIENZA DI CITTADINI STRANIERI RICHIEDENTI ASILO - SISTEMA AURA - ANNO 2016,316224.0,316224.0,UDINE,030079,2015-12-18,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,00168650307,COMUNE DI UDINE,SERVIZIO SERVIZI PER LA SALUTE ED IL BENESSERE SOCIALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
652230043A,,11,AFFIDAMENTO SERVIZIO DI ACCOGLIENZA TEMPORANEA IN FAVORE DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE,SERVIZIO DI ACCOGLIENZA TEMPORANEA IN FAVORE DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE-AMBITO TERRITORIALE GIOVINAZZO-MOLFETTA,2808750.0,18987150,,072006,2015-12-21,PROCEDURA APERTA,80017920721,PREFETTURA DI BARI,SERVIZIO IV ATTIVITA' CONTRATTUALE,85320000-8,SERVIZI SOCIALI,,,certa
699500089A,62758291ED,1,SERVIZI DI ACCOGLIENZA AI MIGRANTI RICHIEDENTI PROTEZIONE INTERNAZIONALE GIÀ PRESENTI E A QUELLI EVENTUALI E FUTURI E LA GESTIONE DEI SERVIZI CONNESSI -CONVENZIONE DITTA PARATORE ANNO 2016 - PROROGA TECNICA- ,SERVIZI DI ACCOGLIENZA AI MIGRANTI RICHIEDENTI PROTEZIONE INTERNAZIONALE GIÀ PRESENTI E A QUELLI EVENTUALI E FUTURI E LA GESTIONE DEI SERVIZI CONNESSI -CONVENZIONE DITTA PARATORE ANNO 2016 - PROROGA TECNICA- ,238545.0,238545.0,,,2015-12-31,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80001080862,PREFETTURA DI ENNA,PREFETTURA U.T.G. DI ENNA SERVIZIO CONTABILITA',55110000-4,SERVIZI DI SISTEMAZIONE ALBERGHIERA,,,certa
6528341D68,,1,SERVIZIO DI ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE - ANNO 2016,SERVIZIO DI ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE - ANNO 2016,17935180.2,17935180.2,TREVISO,026086,2015-12-30,PROCEDURA APERTA,80185690585,MINISTERO DELL INTERNO-DIPARTIMENTO PER GLI AFFARI INTERNI E TERRITORIALI,PREFETTURA UTG DI TREVISO,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,,AGGIUDICATA,certa
6542166E28,,1,GESTIONE SPRAR POSTI ORDINARI E AGGIUNTIVI 2015- PROROGA,GESTIONE SPRAR POSTI ORDINARI E AGGIUNTIVI 2015- PROROGA,328345.0,328345.0,,064030,2015-12-30,AFFIDAMENTO DIRETTO,00232380642,COMUNE DI CONZA DELLA CAMPANIA,CONZA DELLA CAMPANIA,98133000-4,SERVIZI PRESTATI DA ORGANIZZAZIONI ASSOCIATIVE DI CARATTERE SOCIALE,,,certa
65226168FE,,11,AFFIDAMENTO SERVIZIO DI ACCOGLIENZA TEMPORANEA IN FAVORE DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE,SERVIZIO DI ACCOGLIENZA TEMPORANEA IN FAVORE DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE AMBITO TERRITORIALE BITETTO-BITRITTO-MODUGNO,1123500.0,18987150,,072010,2015-12-21,PROCEDURA APERTA,80017920721,PREFETTURA DI BARI,SERVIZIO IV ATTIVITA' CONTRATTUALE,85320000-8,SERVIZI SOCIALI,,,certa
6525876B3A,,1,SERVIZI DI ACCOGLIENZA DI CITTADINI STRANIERI RICHIEDENTI ASILO - SISTEMA AURA - ANNO 2016,SERVIZI DI ACCOGLIENZA DI CITTADINI STRANIERI RICHIEDENTI ASILO - SISTEMA AURA - ANNO 2016,152256.0,152256.0,UDINE,030129,2015-12-18,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,00168650307,COMUNE DI UDINE,SERVIZIO SERVIZI PER LA SALUTE ED IL BENESSERE SOCIALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
65353483C7,,1,SERVIZO ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI LA PROTEZIONE INTERNAZIONALE ANNO 2016,SERVIZO ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI LA PROTEZIONE INTERNAZIONALE ANNO 2016,18273360,18273360,VENEZIA,027042,2015-12-24,PROCEDURA APERTA,80009820277,PREFETTURA DI VENEZIA,PREFETTURA DI VENEZIA - S.C.G.F.,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,,AGGIUDICATA,certa
65425971D8,,1,AFFIDAMENTO ALLA SOC. COOP.VA SOCIALE W.A.L.L. SERVIZIO ACCOGLIENZA MIGRANTI - PERIODO 1^ GENNAIO 2016 /6 GENNAIO 2016 PROROGA,AFFIDAMENTO ALLA SOC. COOP.VA SOCIALE W.A.L.L. SERVIZIO ACCOGLIENZA MIGRANTI - PERIODO 1^ GENNAIO 2016 /6 GENNAIO 2016 PROROGA,3260.4,3260.4,,076063,2015-12-31,AFFIDAMENTO DIRETTO,80005560760,PREFETTURA DI POTENZA,PREFETTURA POTENZA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,probabile
6522442967,,1,SERVIZIO DI ACCOGLIENZA PROFUGHI - MESI DI MAGGIO GIUGNO E LUGLIO 2015 - DITTA COOP.SOC. CAMELOT,SERVIZIO DI ACCOGLIENZA PROFUGHI - MESI DI MAGGIO GIUGNO E LUGLIO 2015 - DITTA COOP.SOC. CAMELOT,287000.0,287000.0,,038008,2015-12-18,AFFIDAMENTO DIRETTO,80006330387,ASP CENTRO SERVIZI ALLA PERSONA,DIREZIONE GENERALE,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,,,certa
6535381EFF,,1,GESTIONE CENTRO DI ACCOGLIENZA PROFUGHI,GESTIONE CENTRO DI ACCOGLIENZA PROFUGHI,104640.0,104640.0,TORINO,001272,2015-12-23,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,80089610010,PREFETTURA-UFFICIO TERRITORIALE DEL GOVERNO DI TORINO,SERVIZIO 1,75240000-0,SERVIZI DI PUBBLICA SICUREZZA E DI ORDINE PUBBLICO,,AGGIUDICATA,certa
65354285CB,,5,PROCEDIMENTO SELETTIVO AI SENSI DEGLI ARTT. 27 E 57 DEL D.LGS 163/2006 E S.M.I. PER LA REALIZZAZIONE DEI SERVIZI DI ACCOGLIENZA A PROFUGHI IN TRANSITO SUL TERRITORIO CITTADINO IN STRUTTURE MESSE A DISPOSIZIONE DAGLI ENTI INVITATI ,SERVIZI DI ACCOGLIENZA PROFUGHI MAX 100 POSTI UOMINI,291200.0,1164800.0,,,2015-12-23,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,01199250158,COMUNE DI MILANO,D.C. POLITICHE SOCIALI E CULTURA DELLA SALUTE - SERVIZIO POLITICHE PER L'IMMIGRAZIONE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,DESERTA,certa
65363140F3,,1,PROROGA TECNICA CONVENZIONE ACCOGLIENZA MIGRANTI ATI PAPA GIOVANNI XXIII E IL PUNGIGLIONE,PROROGA TECNICA CONVENZIONE ACCOGLIENZA MIGRANTI ATI PAPA GIOVANNI XXIII E IL PUNGIGLIONE,60640.2,60640.2,MASSA-CARRARA,045012,2015-12-09,AFFIDAMENTO DIRETTO,80003940451,PREFETTURA DI MASSA CARRARA UFFICIO TERRITORIALE DEL GOVERNO,SERVIZI GENERALI E ATTIVITA' CONTRATTUALE,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,,AGGIUDICATA,probabile
652782104E,,1,SERVIZIO DI ACCOGLIENZA ED ASSISSTENZA AI MIGRANTI RICHIEDENTI LA PROTEZIONE INTERNAZIONALE,SERVIZIO DI ACCOGLIENZA ED ASSISSTENZA AI MIGRANTI RICHIEDENTI LA PROTEZIONE INTERNAZIONALE,5670000.0,5670000.0,RAGUSA,088009,2015-12-30,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80003310887,PREFETTURA DI RAGUSA,PREFETTURA DI RAGUSA,98390000-3,ALTRI SERVIZI,,AGGIUDICATA,certa
6537263017,,1,GESTIONE DEL SERVIZIO ,GESTIONE DEL SERVIZIO 'ASSISTENZA UMANITARIA PER PROFUGHI AL BRENNERO' PER IL PERIODO 01.01.2016 - 31.12.2016,287015.0,287015.0,BOLZANO,021010,2015-12-01,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,90000220211,BEZIRSGEMEINSCHAFT WIPPTAL,SERVIZI SOCIALI-SOZIALDIENST,85312400-3,SERVIZI DI ASSISTENZA SOCIALE NON PRESTATI DA ISTITUTI RESIDENZIALI,,AGGIUDICATA,certa
6518837A76,,1,SERVIZIO DI ACCOGLIENZA PROFUGHI RICHIEDENTI PROTEZIONE INTERNAZIONALE,SERVIZIO DI ACCOGLIENZA PROFUGHI RICHIEDENTI PROTEZIONE INTERNAZIONALE,101424.96,101424.96,,,2015-12-15,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,80006840393,PREFETTURA - UFFICIO TERRITORIALE DEL GOVERNO DI RAVENNA,PREFETTURA - UFFICIO TERRITORIALE DEL GOVERNO DI RAVENNA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,certa
6527357166,,1,SERVIZIO DI ACCOGLIENZA DI MINORI STRANIERI NON ACCOMPAGNATI - SISTEMA AURA - ANNO 2016,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,1405440.0,1405440.0,UDINE,030129,2015-12-18,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,00168650307,COMUNE DI UDINE,SERVIZIO SERVIZI PER LA SALUTE ED IL BENESSERE SOCIALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
