cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
853493532C,713939926F,6,"PROROGA ACCORDO QUADRO CON PIU' OPERATORI ECONOMICI VOLTO AD ASSICURARE I SERVIZI DI ACCOGLIENZA E SERVIZI CONNESSI AI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE, NELL'AMBITO DELLA PROVINCIA DI MODENA ","PROROGA ACCORDO QUADRO CON PIU' OPERATORI ECONOMICI VOLTO AD ASSICURARE I SERVIZI DI ACCOGLIENZA E SERVIZI CONNESSI AI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE, NELL'AMBITO DELLA PROVINCIA DI MODENA ",451651.2,9120274.8,,036023,2020-12-01,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80001270364,PREFETTURA U.T.G. DI MODENA,SERVIZIO CONTABILITA E GESTIONE FINANZIARIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,certa
8523461686,,1,ORGANIZZAZIONE E SVOLGIMENTO DEL SERVIZIO DI INSEGNAMENTO DELLA LINGUA ITALIANA E DEL-LA LINGUA TEDESCA A FAVORE DEI RICHIEDENTI ASILO E TITOLARI DI PROTEZIONE NEL PROGETTO SIPROIMI/SAI 2021-2023,ORGANIZZAZIONE E SVOLGIMENTO DEL SERVIZIO DI INSEGNAMENTO DELLA LINGUA ITALIANA E DEL-LA LINGUA TEDESCA A FAVORE DEI RICHIEDENTI ASILO E TITOLARI DI PROTEZIONE NEL PROGETTO SIPROIMI/SAI 2021-2023,94506.0,94506.0,,,2020-12-03,AFFIDAMENTO DIRETTO,82005950215,BEZIRKSGEMEINSCHAFT VINSCHGAU,DIREZIONE SERVIZI SOCIALI,80580000-3,ORGANIZZAZIONE DI CORSI DI LINGUE,0.0,AGGIUDICATA,certa
8609500029,,1,INSERIMENTO MINORI STRANIERI NON ACCOMPAGNATI PRESSO STRUTTURE GESTITE DA IL CALABRONE SOC.COOP.SOCIALE ONLUS-C.F. 01296890179-ANNO 2021,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,50000.0,50000.0,,017029,2020-12-19,AFFIDAMENTO DIRETTO,00761890177,COMUNE DI BRESCIA,SETTORE SERVIZI SOCIALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,0.0,,certa
8573125E8B,,1,RINNOVO CONVENZIONE SOGGETTI GESTORI SIPROIMI DAL 01.01.2021 AL 30.06.2021,RINNOVO CONVENZIONE SOGGETTI GESTORI SIPROIMI DAL 01.01.2021 AL 30.06.2021,131765.0,131765.0,,,2020-12-30,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,91120860407,UNIONE DI COMUNI VALMARECCHIA,SERVIZI SOCIALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,certa
8530283438,,1,"GESTIONE, IN PROSECUZIONE, DEI SERVIZI DI ACCOGLIENZA INTEGRATA IN FAVORE DI TITOLARI DI PROTEZIONE INTERNAZIONALE IN AMBITO SIPROIMI 2021/2022","GESTIONE, IN PROSECUZIONE, DEI SERVIZI DI ACCOGLIENZA INTEGRATA IN FAVORE DI TITOLARI DI PROTEZIONE INTERNAZIONALE IN AMBITO SIPROIMI 2021/2022",569332.6,569332.6,MILANO,015192,2020-12-01,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,00828590158,COMUNE DI SAN DONATO MILANESE,AREA SVILUPPO DI COMUNITA',85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,certa
8495256B04,,2,AFFIDAMENTO DEI SERVIZI PER L'ACCOGLIENZA INTEGRATA PER MIGRANTI AFFERENTI AL PROGETTO ANCONA CITTÀ D'ASILO - CATEGORIA ORDINARI (COD. 551) CATEGORIA MINORI (COD.552)- BIENNIO 2021/2022 E OPZIONE DI RINNOVO PER ULTERIORI ANNI DUE ,AFFIDAMENTO DEI SERVIZI PER L'ACCOGLIENZA INTEGRATA PER MIGRANTI AFFERENTI AL PROGETTO ANCONA CITTÀ D'ASILO - CATEGORIA MINORI (COD. 552) - BIENNIO 2021/2022 E OPZIONE DI RINNOVO PER ULTERIORI ANNI DUE ,5352094.29,8369068.53,ANCONA,042002,2020-12-18,PROCEDURA APERTA,00351040423,COMUNE DI ANCONA,SERVIZIO SERVIZI SOCIALI - EDUCATIVI - SANITA',85310000-5,SERVIZI DI ASSISTENZA SOCIALE,0.0,AGGIUDICATA,probabile
8557673F26,,1,REALIZZAZIONE DI PROGETTO DI ACCOGLIENZA PRESSO IL COMUNE DI TORRIONI IN SENO AL SIPROIMI IN FAVORE DI BENIFICIARI SINGOLI*VIA VALLI*ACCOGLIENZA PRESSO IL COMUNE DI TORRIONI IN SENO AL SIPROIMI IN FAVORE DI BENIFICIARI SINGOLI,REALIZZAZIONE DI PROGETTO DI ACCOGLIENZA PRESSO IL COMUNE DI TORRIONI IN SENO AL SIPROIMI IN FAVORE DI BENIFICIARI SINGOLI*VIA VALLI*ACCOGLIENZA PRESSO IL COMUNE DI TORRIONI IN SENO AL SIPROIMI IN FAVORE DI BENIFICIARI SINGOLI,821250.0,821250.0,,064111,2020-12-21,PROCEDURA APERTA,80007110648,COMUNE DI TORRIONI,UFFICIO RAGIONERIA,85320000-8,SERVIZI SOCIALI,0.0,,certa
85297371A6,,1,SIPROIMI SAN PIETRO ACCOGLIE,SIPROIMI SAN PIETRO ACCOGLIE,1026562.5,1026562.5,,074016,2020-12-02,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,80001910746,COMUNE DI SAN PIETRO VERNOTICO,AREA 5 SERVIZI SOCIALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,0.0,,certa
85086475A0,,1,"PROCEDURA APERTA PER L'INDIVIDUAZIONE DI UN SOGGETTO ATTUATORE PER LA PROSECUZIONE DEI SERVIZI DI ORGANIZZAZIONE E GESTIONE DELLE ATTIVITA' DI ACCOGLIENZA, TUTELA E INTEGRAZIONE A FAVORE DI RICHIEDENTI/TITOLARI DI PROTEZIONE E DEI LORO FAMILIARI DI CUI AL SISTEMA DI PROTEZIONE INTERNAZIONALE (SIPROIMI) PROGETTO ADULTI PROVINCIA DI FOGGIA'PROG-632-PR-2 - BIENNIO 2021/2022.","PROCEDURA APERTA PER L'INDIVIDUAZIONE DI UN SOGGETTO ATTUATORE PER LA PROSECUZIONE DEI SERVIZI DI ORGANIZZAZIONE E GESTIONE DELLE ATTIVITA' DI ACCOGLIENZA, TUTELA E INTEGRAZIONE A FAVORE DI RICHIEDENTI/TITOLARI DI PROTEZIONE E DEI LORO FAMILIARI DI CUI AL SISTEMA DI PROTEZIONE INTERNAZIONALE (SIPROIMI) PROGETTO ADULTI PROVINCIA DI FOGGIA'PROG-632-PR-2 - BIENNIO 2021/2022.",788338.0,788338.0,,,2020-12-31,PROCEDURA APERTA,00374200715,PROVINCIA DI FOGGIA,SERVIZIO CIVILE,85320000-8,SERVIZI SOCIALI,0.0,,certa
8529579F3F,,1,"INDIVIDUAZIONE ENTE ATTUATORE PER GESTIONE PROGETTO SPRAR/SIPROIMI CAT. ORDINARI, CODICE PROG-198-PR-2","INDIVIDUAZIONE ENTE ATTUATORE PER GESTIONE PROGETTO SPRAR/SIPROIMI CAT. ORDINARI, CODICE PROG-198-PR-2",1063500.0,1063500.0,,062008,2020-12-04,PROCEDURA APERTA,00074270620,COMUNE DI BENEVENTO,SETTORE SERVIZI AL CITTADINO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,certa
85631674F4,,1,2020 SERVIZIO ACCOGLIENZA MINORI STRANIERI NON ACCOMPAGNATI,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,9955.0,9955.0,,030023,2020-12-16,AFFIDAMENTO DIRETTO,90022970306,UNIONE TERRITORIALE INTERCOMUNALE DELL'AGRO AQUILEIESE,SERVIZIO SOCIALE,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,0.0,,certa
85787028D6,,1,ASSISTENZA ED ACCOGLIENZA PROFUGHI CHIERESE,ASSISTENZA ED ACCOGLIENZA PROFUGHI CHIERESE,45058.0,45058.0,,001272,2020-12-28,AFFIDAMENTO DIRETTO,80089610010,PREFETTURA-UFFICIO TERRITORIALE DEL GOVERNO DI TORINO,SERVIZIO 1,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,certa
84742135CA,,1,"GESTIONE DEI SERVIZI DI ASILO, ACCOGLIENZA, TUTELA E INTEGRAZIONE PER TITOLARI DI PROTEZIONE INTERNAZIONALE - SIPROIMI PER N.21 POSTI ORDINARI ","GESTIONE DEI SERVIZI DI ASILO, ACCOGLIENZA, TUTELA E INTEGRAZIONE PER TITOLARI DI PROTEZIONE INTERNAZIONALE - SIPROIMI PER N.21 POSTI ORDINARI",560779.28,560779.28,BARLETTA-ANDRIA-TRANI,110002,2020-12-30,PROCEDURA APERTA,00741610729,COMUNE DI BARLETTA,SETTORE SERVIZI SOCIALI E SANITARI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,certa
85812954A7,,1,"SERVIZIO DI COPROGETTAZIONE E GESTIONE DEL SERVIZIO PER L'ACCOGLIENZA, LA TUTELA E L'INTEGRAZIONE A FAVORE DEI BENEFICIARI DEL PROGETTO SIPROIMI (GIÀ S.P.R.A.R) DAL 1.3.2021 AL 31.12.2022","SERVIZIO DI COPROGETTAZIONE E GESTIONE DEL SERVIZIO PER L'ACCOGLIENZA, LA TUTELA E L'INTEGRAZIONE A FAVORE DEI BENEFICIARI DEL PROGETTO SIPROIMI (GIÀ S.P.R.A.R) DAL 1.3.2021 AL 31.12.2022",627264.04,627264.04,,001082,2020-12-30,PROCEDURA APERTA,82500150014,COMUNE DI CHIVASSO,AREA SERVIZI AMMINISTRATIVI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,certa
