cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
67831142C0,,1,SERVIZO ACCOGLIENZA STRAMIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE - AFFIDAMENTO DIRETTO LUGLIO 2016 -RAME' SRL,SERVIZO ACCOGLIENZA STRAMIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE - AFFIDAMENTO DIRETTO LUGLIO 2016 -RAME' SRL,39900.0,39900.0,,,2016-06-27,AFFIDAMENTO DIRETTO,80015510045,PREFETTURA DI CUNEO,UTG CUNEO,55110000-4,SERVIZI DI SISTEMAZIONE ALBERGHIERA,,,certa
67224927E3,,1,ACCOGLIENZA MIGRANTI RICHIEDENTI PROTEZIONE INTERNAZIONALE,ACCOGLIENZA MIGRANTI RICHIEDENTI PROTEZIONE INTERNAZIONALE,366000.0,366000.0,,093033,2016-06-17,PROCEDURA APERTA,80009990930,PREFETTURA-UFFICIO TERRITORIALE DEL GOVERNO DI PORDENONE,UFFICIO APPALTI-CONTRATTI,85321000-5,SERVIZI SOCIALI AMMINISTRATIVI,,,certa
67220402E4,,1,ACCOGLIENZA MIGRANTI CAS SAN MARCO APRILE GIUGNO 2016,ACCOGLIENZA MIGRANTI CAS SAN MARCO APRILE GIUGNO 2016,180000.0,180000.0,,084001,2016-06-13,PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI),80004020840,PREFETTURA DI AGRIGENTO,MINISTERO DELL'INTERNO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,probabile
7475147E6F,,1,SERVIZIO DI PRIMISSIMA ACCOGLIENZA MINORI STRANIERI NON ACCOMPAGNATI - 2^ TRIMESTRE 2017,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,142000.0,142000.0,AGRIGENTO,084028,2016-06-08,AFFIDAMENTO DIRETTO,80002890848,COMUNE DI PORTO EMPEDOCLE,DIPARTIMENTO AFFARI GENERALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,,AGGIUDICATA,certa
6734714DCB,652955573D,1,AFFIDAMENTO ALL'ASSOCIAZIONE LE ROSE DI ATACAMA - P.I. 01897300768 - SERVIZIO ACCOGLIENZA N. 67 MIGRANTI - PERIODO 1^ LUGLIO 2016 / 31 DICEMBRE 2016,AFFIDAMENTO ALL'ASSOCIAZIONE LE ROSE DI ATACAMA - P.I. 01897300768 - SERVIZIO ACCOGLIENZA N. 67 MIGRANTI - PERIODO 1^ LUGLIO 2016 / 31 DICEMBRE 2016,394496.0,394496.0,,076063,2016-06-15,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80005560760,PREFETTURA DI POTENZA,PREFETTURA POTENZA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,probabile
6714623A2E,,1,ACQUISTO MODULI ABITATIVI PER L'ACCOGLIENZA DEI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE,ACQUISTO MODULI ABITATIVI PER L'ACCOGLIENZA DEI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE,104500.0,104500.0,,015146,2016-06-09,AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,80101710152,PREFETTURA DI MILANO,SASGAC,34221000-2,CONTAINER MOBILI SPECIALI,,,certa
65369551EB,640585244C,1,SERVIZIO ACCOGLIENZA PROFUGHI ACCORDO QUADRO SETTEMBRE 2015,SERVIZIO ACCOGLIENZA PROFUGHI ACCORDO QUADRO SETTEMBRE 2015,264005.0,264005.0,,,2016-06-27,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80015510045,PREFETTURA DI CUNEO,UTG CUNEO,55110000-4,SERVIZI DI SISTEMAZIONE ALBERGHIERA,,AGGIUDICATA,certa
6734617DBF,652955573D,1,AFFIDAMENTO ALLA SOC.COOP.VA SOCIALE MULTISERVICE SUD - P.I. 01650770769 - IN AVVALIMENTO CON L'ASSOCIAZIONE IL SENTIERO ONLUS P.I. 920104306657 - SERVIZIO ACCOGLIENZA N. 163 MIGRANTI - PERIODO 1^ LUGLIO 2016 / 31 DICEMBRE 2016,AFFIDAMENTO ALLA SOC.COOP.VA SOCIALE MULTISERVICE SUD - P.I. 01650770769 - IN AVVALIMENTO CON L'ASSOCIAZIONE IL SENTIERO ONLUS P.I. 920104306657 - SERVIZIO ACCOGLIENZA N. 163 MIGRANTI - PERIODO 1^ LUGLIO 2016 / 31 DICEMBRE 2016,869768.0,869768.0,,076063,2016-06-15,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80005560760,PREFETTURA DI POTENZA,PREFETTURA POTENZA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,probabile
67354805ED,,1,RETTE N.12 MSNA OSPITATI PRESSO LA C.A. LA SPERANZA DELLA SOC.COOP. SOCIALE L'ARCA - ANNO 2016,RETTE N.12 MSNA OSPITATI PRESSO LA C.A. LA SPERANZA DELLA SOC.COOP. SOCIALE L'ARCA - ANNO 2016,197640.0,197640.0,TRAPANI,081011,2016-06-22,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,00139550818,COMUNE DI MARSALA,SETTORE SERVIZI ALLA FAMIGLIA - UFFICIO SOLIDARIETA' SOCIALE,85320000-8,SERVIZI SOCIALI,,AGGIUDICATA,certa
6731417D06,,6,SERVIZI DI ACCOGLIENZA PER CITTADINI STRANIERI TEMPORANEAMENTE PRESENTI IN STRUTTURE DEGLI ENTI MASSIMO 475 PRESENZE AL GIORNO,SERVIZI ACCOGLIENZA CITTADINI STRANIERI TEMPORANEMENTE PRESENTI FINO A 150 (UOMINI),148800.0,471200.0,MILANO,015146,2016-06-21,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,01199250158,COMUNE DI MILANO,D.C. POLITICHE SOCIALI E CULTURA DELLA SALUTE - SERVIZIO POLITICHE PER L'IMMIGRAZIONE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,probabile
6872434FEE,,1,SERVIZIO DI ACCOGLIENZA MIGRANTI RICHIEDENTI PROTEZIONE INTERNAZIONALE,SERVIZIO DI ACCOGLIENZA MIGRANTI RICHIEDENTI PROTEZIONE INTERNAZIONALE,85312.0,85312.0,,,2016-06-23,PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE UNA GARA,80007150594,PREFETTURA DI LATINA,PREFETTURA DI LATINA UTG SERVIZIO CONTABILITA' E GESTIONE FINANZIARIA,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,,AGGIUDICATA,certa
6794049299,,1,SERVIZIO ACCOGLIENZA STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE - AFFIDAMENTO DIRETTO AGOSTO 2016,SERVIZIO ACCOGLIENZA STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE - AFFIDAMENTO DIRETTO AGOSTO 2016 - ACISJF CASA DELLA GIOVANE,7680.0,7680.0,,,2016-06-27,AFFIDAMENTO DIRETTO,80015510045,PREFETTURA DI CUNEO,UTG CUNEO,55110000-4,SERVIZI DI SISTEMAZIONE ALBERGHIERA,,,certa
6795887F59,,1,CONVENZIONE PER L'AVVOGLIENZA IN APPARTAMENTO DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE. INCONTRI PER LA DEMOCRAZIA VALLEFOGLIA E FERMIGNANO ,CONVENZIONE PER L'AVVOGLIENZA IN APPARTAMENTO DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE. INCONTRI PER LA DEMOCRAZIA VALLEFOGLIA E FERMIGNANO ,47151.0,47151.0,,,2016-06-22,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,97420690584,DIP.TO POLITICHE PERS. AMM.NE CIV. E RIS. STRUM.LI E FIN.,PREFETTURA U.T.G. DI PESARO E URBINO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,certa
