cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
83513296B4,7173760606,1,SERVIZI DI GESTIONE DI CENTRI DI ACCOGLIENZA COSTITUITI DA SINGOLE UNITA PER CITTADINI STRANIERI RICHIEDENTI PROT. INT.LE ANNO 2020,SERVIZI DI GESTIONE DI CENTRI DI ACCOGLIENZA COSTITUITI DA SINGOLE UNITA PER CITTADINI STRANIERI RICHIEDENTI PROT. INT.LE ANNO 2020,60900.0,60900.0,,029041,2020-06-25,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80006550299,PREFETTURA DI ROVIGO,SERVIZI GENERALI E ATTIVITA CONTRATTURALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,probabile
837449323F,,1,SERVIZI INNOVATIVI PER LA GESTIONE DEL PROGETTO SIPROIMI - SISTEMA DI PROTEZIONE PER TITOLARI DI PROTEZIONE INTERNAZIONALE E MINORI STRANIERI NON ACCOMPAGNATI (MSNA): INDIVIDUAZIONE DEL SOGGETTO ATTUATORE,SERVIZI INNOVATIVI PER LA GESTIONE DEL PROGETTO SIPROIMI (SISTEMA DI PROTEZIONE PER TITOLARI DI PROTEZIONE INTERNAZIONALE E MINORI STRANIERI NON ACCOMPAGNATI (MSNA): INDIVIDUAZIONE DEL SOGGETTO ATTUATORE,562844.04,562844.04,LUCCA,046017,2020-06-30,AFFIDAMENTO RISERVATO,00378210462,COMUNE DI LUCCA,SETTORE SOCIALE - SERVIZI SOCIALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,certa
8521372A9F,7834331675,1,SERVIZIO ACCOGLIENZA PROFUGHI PROVINCIA DI NOVARA STRUTTURE COLLETTIVA DA 51 A 100 POSTI ANNO 2020-2021 CIG DERIVATO VERSOPROBO ,SERVIZIO ACCOGLIENZA PROFUGHI PROVINCIA DI NOVARA STRUTTURE COLLETTIVA DA 51 A 100 POSTI ANNO 2020-2021 CIG DERIVATO VERSOPROBO ,1718539.17,1718539.17,,003106,2020-06-03,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80014540035,PREFETTURA DI NOVARA,RAGIONERIA,98910000-5,SERVIZI SPECIFICI DI ORGANIZZAZIONI ED ENTI INTERNAZIONALI,0.0,,certa
83448178D4,,1,SERVIZIO DI REALIZZAZIONE DI UNO STUDIO CONOSCITIVO SUI MSNA (MINORI STRANIERI NON ACCOMPAGNATI),Oggetto non pubblicabile a causa della potenziale presenza di dati personali,135000.0,135000.0,,058091,2020-06-22,PROCEDURA APERTA,80185250588,MINISTERO DELL'ISTRUZIONE,MIUR - DG PER LO STUDENTE L INTEGRAZIONE E LA PARTECIPAZIONE,73300000-5,PROGETTAZIONE E REALIZZAZIONE DI RICERCA E SVILUPPO,0.0,,certa
835904889F,,1,SERVIZI DI ACCOGLIENZA INTEGRATA SPRAR (2020-2022) - SIPROIMI MSNA - PROROGA TECNICA AL 31/12/2020,SERVIZI DI ACCOGLIENZA INTEGRATA SPRAR (2020-2022) - SIPROIMI MSNA - PROROGA TECNICA AL 31/12/2020,152095.5,152095.5,,062034,2020-06-30,AFFIDAMENTO DIRETTO,80002120626,COMUNE DI FRAGNETO MONFORTE,UTC FRAGNETO MONFORTE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,certa
831755792A,,1,"GARA EUROPEA A PROCEDURA APERTA PER LA CONCLUSIONE DI UN ACCORDO QUADRO BIENNALE PER L'AFFIDAMENTO DEI SERVIZI DI GESTIONE DI CENTRI DI ACCOGLIENZA TEMPORANEA, COSTITUITI DA SINGOLE UNITÀ ABITATIVE, DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE NELL'AMBITO DI VARESE E PROVINCIA. BIENNIO 2020-2022.","GARA EUROPEA A PROCEDURA APERTA PER LA CONCLUSIONE DI UN ACCORDO QUADRO BIENNALE PER L'AFFIDAMENTO DEI SERVIZI DI GESTIONE DI CENTRI DI ACCOGLIENZA TEMPORANEA, COSTITUITI DA SINGOLE UNITÀ ABITATIVE, DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE NELL'AMBITO DI VARESE E PROVINCIA. BIENNIO 2020-2022.",22471920,22471920,,012133,2020-06-03,PROCEDURA APERTA,80014740122,PREFETTURA,U.T.G. PREFETTURA DI VARESE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,730.0,DESERTA,certa
83347884A4,7784217B12,1,SERVIZIO DI ACCOGLIENZA RICHIEDENTI PROTEZIONE INTERNAZIONALE IN CENTRI COLLETTIVI,SERVIZIO DI ACCOGLIENZA RICHIEDENTI PROTEZIONE INTERNAZIONALE IN CENTRI COLLETTIVI,566320.35,566320.35,,,2020-06-25,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80006840393,PREFETTURA - UFFICIO TERRITORIALE DEL GOVERNO DI RAVENNA,PREFETTURA - UFFICIO TERRITORIALE DEL GOVERNO DI RAVENNA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,certa
8320115818,713939926F,1,"ACCORDO QUADRO CON PIÙ OPERATORI ECONOMICI VOLTO AD ASSICURARE I SERVIZI DI ACCOGLIENZA E SERVIZI CONNESSI AI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE, NELL'AMBITO DELLA PROVINCIA DI MODENA","ACCORDO QUADRO CON PIÙ OPERATORI ECONOMICI VOLTO AD ASSICURARE I SERVIZI DI ACCOGLIENZA E SERVIZI CONNESSI AI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE, NELL'AMBITO DELLA PROVINCIA DI MODENA",82569.6,82569.6,,036023,2020-06-01,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80001270364,PREFETTURA U.T.G. DI MODENA,SERVIZIO CONTABILITA E GESTIONE FINANZIARIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,certa
834242748B,779107025B,2,SERVIZI ACCOGLIENZA IMMIGRATI IN ACCORDO QUADRO PERIODO 2020-2021 CENTRI COLLETTIVI DA 51 A 300 POSTI - 2 ^ ANNO,CONVENZIONE DISCENDENTE DA ACCORDO QUADRO BANDO DI GARA IMMIGRATI 2019-2021 - DI MARI BRUNO SOC. COOP SOCIALE 2^ ANNO,570000.0,1490000.0,,056042,2020-06-28,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80016510564,PREFETTURA DI VITERBO-UFFICIO TERRITORIALE DEL GOVERNO-,UFFICIO ECONOMICO FINANZIARIO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,,probabile
8341051508,,1,ACCOGLIENZA DI N. 1 MINORE STRANIERO NON ACCOMPAGNATO IN COMUNITA,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,37406.0,37406.0,,013075,2020-06-17,AFFIDAMENTO DIRETTO,80005370137,COMUNE DI COMO,N. 22 SETTORE SERVIZI SOCIALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,0.0,,certa
