cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
6853791740,,3,INDIVIDUAZIONE DI SOGGETTI DEL TERZO SETTORE PER LA COOPROGETTAZIONE E LA GESTIONE DI STRUTTURE SPRAR,INDIVIDUAZIONE SOGGETTI DEL TERZO SETTORE PER LA COOPROGETTAZIONE E LA GESTIONE DI STRUTTURE SPRAR,125064.0,618041.15,BOLOGNA,037032,2016-11-03,PROCEDURA APERTA,90036770379,NUOVO CIRCONDARIO IMOLESE,PROGRAMMAZIONE SOCIO SANITARIA,85320000-8,SERVIZI SOCIALI,,AGGIUDICATA,certa
6891393D65,,1,ACCOGLIENZA CITTADINI STRANIERI RICHIEDENDI ASILO - DICEMBRE 2016 - GENNAIO 2017,ACCOGLIENZA CITTADINI STRANIERI RICHIEDENDI ASILO - DICEMBRE 2016 - GENNAIO 2017,151776.0,151776.0,LECCO,097007,2016-11-28,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,01409210133,COMUNITA' MONTANA VALSASSINA VALVARRONE VAL D'ESINO RIVIERA,SERVIZI ALLA PERSONA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,probabile
6874022E64,,1,TRASFERIMENTO MODULI ABITATIVI PER RICHIEDENTI PROTEZIONE INTERNAZIONALE,TRASFERIMENTO MODULI ABITATIVI PER RICHIEDENTI PROTEZIONE INTERNAZIONALE,45900.0,45900.0,,037006,2016-11-17,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,80070330370,PREFETTURA DI BOLOGNA,SERVIZIO ATTIVITA' CONTRATTUALI,60161000-4,SERVIZI DI TRASPORTO COLLI,,AGGIUDICATA,certa
71461559A7,,1,SERVIZI DI ASSISTENZA A MIGRANTI ,SERVIZI DI ASSISTENZA A MIGRANTI ,266000.0,266000.0,,080063,2016-11-03,AFFIDAMENTO DIRETTO,80009220809,PREFETTURA DI REGGIO CALABRIA,SERV. AMM.NE AFFARI EGENERALI E ATT. CONTRATTUALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,probabile
6852094ED5,,1,SERVIZIO DI IN PROVINCIA DI TRIESTE DEI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE. PERIODO 1.1.2017-31.12.2017,SERVIZIO DI IN PROVINCIA DI TRIESTE DEI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE. PERIODO 1.1.2017-31.12.2017,11497500,11497500,TRIESTE,032006,2016-11-03,PROCEDURA APERTA,80215430580,MINISTERO DELL'INTERNO - DIPARTIMENTO PER LE LIBERTA' CIVILI E L'IMMIGRAZIONE,PREFETTURA-UTG TRIESTE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
6883752BD8,,1,GARA ACCOGLIENZA N.150 MIGRANTI PROVINCIA CASERTA FINO AL 31 DICEMBRE 2016,GARA ACCOGLIENZA N.150 MIGRANTI PROVINCIA CASERTA FINO AL 31 DICEMBRE 2016,157500.0,157500.0,,061022,2016-11-24,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,80002190611,MINISTERO INTERNO PREFETTURA CASERTA,UFFICIO RAGIONERIA,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,,,probabile
6890794F15,659847844D,1,CONVENZIONE SERVIZIO ACCOGLIENZA STRAORDINARIA MIGRANTI CARITAS DAL 1^ AL 31 DICEMBRE 2016,CONVENZIONE SERVIZIO ACCOGLIENZA STRAORDINARIA MIGRANTI CARITAS DAL 1^ AL 31 DICEMBRE 2016,112297.5,112297.5,,092101,2016-11-30,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80014130928,PREFETTURA DI CAGLIARI UTG,SERVIZIO A.S.G.A.C.,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,probabile
6867803253,,1,SERVIZI ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE IONTERNAZIONALE,SERVIZI ACCOGLIENZA CITTADINI STRANIERI RICHIEDENTI PROTEZIONE IONTERNAZIONALE,48042.0,48042.0,,029041,2016-11-14,AFFIDAMENTO DIRETTO,80006550299,PREFETTURA DI ROVIGO,SERVIZI GENERALI E ATTIVITA CONTRATTUALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,certa
69082070C3,,1,SERVIZIO DI ACCOGLIENZA A FAVORE DI RICHIEDENTI ASILO,SERVIZIO DI ACCOGLIENZA A FAVORE DI RICHIEDENTI ASILO,210240.0,210240.0,UDINE,030129,2016-11-07,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,00168650307,COMUNE DI UDINE,SERVIZIO SERVIZI PER LA SALUTE ED IL BENESSERE SOCIALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
6919052655,,1,GESTIONE SERVIZIO SPRAR PER L'ACCOGLIENZA DI RICHIEDENTI ASILO E/O RIFUGIATI - CATEGORIA VULNERABILI - TRIENNIO 2017 - 2019.,GESTIONE SERVIZIO SPRAR PER L'ACCOGLIENZA DI RICHIEDENTI ASILO E/O RIFUGIATI - CATEGORIA VULNERABILI - TRIENNIO 2017 - 2019.,431703.75,431703.75,UDINE,030129,2016-11-24,PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE UNA GARA,00168650307,COMUNE DI UDINE,SERVIZIO SERVIZI PER LA SALUTE ED IL BENESSERE SOCIALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
