cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
7044026225,6870394C79,1,ACCORDO QUADRO PER L'ACCOGLIENZA DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE E LA GESTIONE DEI SERVIZI CONNESSI TRA LA PREFETTURA DI ROMA E PIU' SOGGETTI ECONOMICI OPERANTI NELLA PROVINCIA DI ROMA - PERIODO 10/04/2017 - 31/12/2017.PERIODO 10 APRILE 31 DIC LOTTO 6 ATS CONTRAD,ACCORDO QUADRO PER L'ACCOGLIENZA DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE E LA GESTIONE DEI SERVIZI CONNESSI TRA LA PREFETTURA DI ROMA E PIU' SOGGETTI ECONOMICI OPERANTI NELLA PROVINCIA DI ROMA - PERIODO 10/04/2017 - 31/12/2017.PERIODO 10 APRILE 31 DIC LOTTO 6 ATS CONTRAD,734160.0,734160.0,,,2017-04-10,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80197350582,PREFETTURA DI ROMA,PREFETTURA DI ROMA SERVIZI ISTITUZIONALI E GENERALI DELLE AMMINISTRAZIONI PUBBLICHE - AMMINISTRAZIONE GENERALE E SUPPORTO ALLA RAPPRESENTANZA GENERALE DI GOVERNO E DELLO STATO,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,certa
70512256F1,6916758145,1,SERV. PRIMA ACCOGLIENZA CITTADINI STRANIERI RICH. PROT. INTERNAZIONALE E SERV. CONNESSI,SERV. PRIMA ACCOGLIENZA CITTADINI STRANIERI RICH. PROT. INTERNAZIONALE E SERV. CONNESSI,3295537.2,3295537.2,GENOVA,010025,2017-04-18,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80043490103,PREFETTURA DI GENOVA,UFFICIO CONTRATTI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,probabile
70446461C9,,2,SERVIZIO DI ACCOGLIENZA E ASSISTENZA NEI COMUNI DELLA PROVINCIA DI PALERMO DEI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE IN STRUTTURE NELLA DISPONIBILITÀ DEI SOGGETTI PARTECIPANTI COME SPECIFICATO NEL DISCIPLINARE DI GARA E NEGLI ALLEGATI A (DOTAZIONE MINIMA PERSONALE) E B (SCHEMA DI CONVENZIONE),SERVIZIO DI ACCOGLIENZA E ASSISTENZA DEI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE IN STRUTTURE NELLA DISPONIBILITÀ DEI SOGGETTI PARTECIPANTI NEL COMUNE DI PALERMO - ,3832500.0,19162500,,082053,2017-04-14,PROCEDURA APERTA,80015880828,PREFETTURA DI PALERMO,SERVIZI COMUNI - ATTIVITA' CONTRATTUALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,,certa
6904807AFB,,1,AFFIDAMENTO SERVIZIO SPRAR VIVERE LA VITA,AFFIDAMENTO SERVIZIO SPRAR VIVERE LA VITA,757750.0,757750.0,,088009,2017-04-20,PROCEDURA APERTA,00180270886,COMUNE DI RAGUSA,SERVIZI SOCIALI PUBBLICA ISTRUZIONE,85311200-4,SERVIZI DI ASSISTENZA SOCIALE PER DISABILI,,,certa
7355267E54,,1,"L.P. 2 MAGGIO 1990 N. 13. SERVIZIO DI ACCOGLIENZA STRAORDINARIA INTEGRATA PER I MIGRANTI RICHIEDENTI/TITOLARI I PROTEZIONE INTERNAZIONALE CHE IL MINISTERO DELL'INTERNO HA DESTINATO AL TRENTINO IN VIA STRAORDINARIA, DA SVOLGERSI PRESSO LE STRUTTURE DI ACCOGLIENZA NON COLLETTIVA DISLOCATE SUL TERRITORIO PROVINCIALE IN DISPONIBILITÀ DIRETTA DELLA PROVINCIA. PROCEDURA DI GARA ATTIVATA CON DETERMINAZIONE N. 30 DEL 31.01.2017: AGGIUDICAZIONE A ASSOCIAZIONE CENTRO ASTALLI TRENTO ONLUS DEL LOTTO N. 14 - COMUNITÀ DELLA PAGANELLA","L.P. 2 MAGGIO 1990 N. 13. SERVIZIO DI ACCOGLIENZA STRAORDINARIA INTEGRATA PER I MIGRANTI RICHIEDENTI/TITOLARI I PROTEZIONE INTERNAZIONALE CHE IL MINISTERO DELL'INTERNO HA DESTINATO AL TRENTINO IN VIA STRAORDINARIA, DA SVOLGERSI PRESSO LE STRUTTURE DI ACCOGLIENZA NON COLLETTIVA DISLOCATE SUL TERRITORIO PROVINCIALE IN DISPONIBILITÀ DIRETTA DELLA PROVINCIA. PROCEDURA DI GARA ATTIVATA CON DETERMINAZIONE N. 30 DEL 31.01.2017: AGGIUDICAZIONE A ASSOCIAZIONE CENTRO ASTALLI TRENTO ONLUS DEL LOTTO N. 14 - COMUNITÀ DELLA PAGANELLA",82080.0,82080.0,TRENTO,022005,2017-04-27,PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE UNA GARA,00337460224,PROVINCIA AUTONOMA DI TRENTO,CINFORMI,85320000-8,SERVIZI SOCIALI,,AGGIUDICATA,certa
70422329AE,,2,ACCORDO QUADRO PER L'AFFIDAMENTO DEL SERVIZIO DI ACCOGLIENZA E ASSISTENZA DI CITTADINI STRANIERI EXTRACOMUNITARI RICHIEDENTI LA PROTEZIONE INTERNAZIONALE NELLA PROVINCIA DI REGGIO EMILIA PERIOFO 1/6/2017-31/12/2019,ACCORDO QUADRO PER L'AFFIDAMENTO DEL SERVIZIO DI ACCOGLIENZA E ASSISTENZA A CITTADINI STRANIERI EXTRACOMUNITARI RICHIEDENTI PROTEZIONE INTERNAZIONALE LOTTO GEOGRAFICO UNIONI DI COMUNI,10471020,17227000,,,2017-04-12,PROCEDURA APERTA,80011890359,PREFETTURA DI REGGIO EMILIA,U.T.G. REGGIO EMILIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
7046424D06,,3,SERVIZIO ACCOGLIENZA MIGRANTI,SERVIZIO ACCOGLIENZA MIGRANTI COMUNI DEL 2^ AMBITO,3666016.0,10998048,,,2017-04-13,PROCEDURA APERTA,80009550759,PREFETTURA,SERVIZIO AMMINISTRAZIONE SERVIZI GENERALI E ATTIVITA CONTRATTUALE,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,,AGGIUDICATA,probabile
70512370DA,6916758145,1,SERV. PRIMA ACCOGLIENZA CITTADINI STRANIERI RICH. PROT. INTERNAZIONALE E SERV. CONNESSI,SERV. PRIMA ACCOGLIENZA CITTADINI STRANIERI RICH. PROT. INTERNAZIONALE E SERV. CONNESSI,45021.0,45021.0,GENOVA,010025,2017-04-18,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80043490103,PREFETTURA DI GENOVA,UFFICIO CONTRATTI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,probabile
7030426B0F,,1,INDIVIDUAZIONE OPERATORE ECONOMICO PER GESTIONE SERVIZI SPRAR- D.M. 10 AGOSTO 2016- TRIENNO 2017/2019,INDIVIDUAZIONE OPERATORE ECONOMICO PER GESTIONE SERVIZI SPRAR- D.M. 10 AGOSTO 2016- TRIENNO 2017/2019,1539734.28,1539734.28,,,2017-04-05,PROCEDURA APERTA,CFAVCP-00012A8,CENTRALE UNICA DI COMMITTENZA IRPINIA,COMUNE DI CONZA DELLA CAMPANIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
7054517397,,1,PROGETTO SPRAR,PROGETTO SPRAR,93620.07,93620.07,CATANZARO,079039,2017-04-27,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,03184430795,UNIONE DEI COMUNI DI MONTE CONTESSA,UFFICIO SERVIZI FINANZIARI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,certa
