cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
878175122E,8463191E23,1,AFFIDAMENTO SERVIZI DI ACCOGLIENZA RICHIEDENTI ASILO 1,AFFIDAMENTO SERVIZI DI ACCOGLIENZA PROGETTO SIPROIMI - SAI (RICHIEDENTI ASILO ) 1,309920.0,309920.0,GENOVA,010007,2021-05-01,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,83003790108,COMUNE DI CAMOGLI,AREA SERVIZI ALLA PERSONA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,certa
8754194D69,,1,GESTIONE DI SERVIZI INERENTI ACCOGLIENZA ED ASSISTENZA DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE,GESTIONE DI SERVIZI INERENTI ACCOGLIENZA ED ASSISTENZA DI CITTADINI STRANIERI RICHIEDENTI PROTEZIONE INTERNAZIONALE,355812.72,355812.72,,,2021-05-17,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,00182910034,COMUNE DI VERBANIA,UFFICIO APPALTI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,certa
872957947B,,1,SERVIZIO DI ACCOGLIENZA MIGRANTI IN UNITA ABITATIVE PERIODO 1 AGOSTO 2021 - 31 LUGLIO 2023 ,SERVIZIO DI ACCOGLIENZA MIGRANTI IN UNITA ABITATIVE PERIODO 1 AGOSTO 2021 - 31 LUGLIO 2023 ,8916967.5,8916967.5,,,2021-05-05,PROCEDURA APERTA,80005580180,PREFETTURA U.T.G. DI PAVIA,SERVIZI GENERALI - ATTIVITA' CONTTRATTUALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,730.0,AGGIUDICATA,probabile
874844445F,,1,SERVIZIO ACCOGLIENZA MIGRANTI PRESSO CENTRI COLLETTIVI DA 101 A 300 POSTI,SERVIZIO ACCOGLIENZA MIGRANTI PRESSO CENTRI COLLETTIVI DA 101 A 300 POSTI,48134871,48134871,,,2021-05-13,PROCEDURA APERTA,80101710152,PREFETTURA DI MILANO,SASGAC,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,730.0,AGGIUDICATA,probabile
8822490510,,2,SERVIZIO DI ACCOGLIENZA IN ISOLAMENTO FIDUCIARIO PER MSNA,SERVIZIO DI ACCOGLIENZA IN ISOLAMENTO FIDUCIARIO PER MSNA ,605662.2,945942.2,TRIESTE,032006,2021-05-31,AFFIDAMENTO DIRETTO PER MODIFICHE CONTRATTUALI O VARIANTI PER LE QUALI È NECESSARIA UNA NUOVA PROCEDURA DI AFFIDAMENTO,00210240321,COMUNE DI TRIESTE,SERVIZIO SOCIALE COMUNALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,183.0,AGGIUDICATA,certa
871674665A,,1,GESTIONE DEL CENTRO CASA MIGRANTES,GESTIONE DEL CENTRO 'CASA MIGRANTES',475110.4,475110.4,,,2021-05-04,AFFIDAMENTO DIRETTO,01710790211,AZIENDA SERVIZI SOCIALI DI BOLZANO,RIPARTIZIONE DISTRETTI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,probabile
87278100A9,,1,SERVIZI DI ACCOGLIENZA E INTEGRAZIONE NELL'AMBITO DEL SISTEMA SAI (EX SIPROIMI) AI SENSI DEL D.L. N. 130/2020 - CATEGORIA ORDINARI - A VALERE SUL FINANZIAMENTO DI CUI AL DECRETO DEL MINISTRO DELL'INTERNO DEL 01/10/2020 PER IL COMUNE DI MARLIANA.,SERVIZI DI ACCOGLIENZA E INTEGRAZIONE NELL'AMBITO DEL SISTEMA SAI (EX SIPROIMI) AI SENSI DEL D.L. N. 130/2020 - CATEGORIA ORDINARI - A VALERE SUL FINANZIAMENTO DI CUI AL DECRETO DEL MINISTRO DELL'INTERNO DEL 01/10/2020 PER IL COMUNE DI MARLIANA.,890833.22,890833.22,PISTOIA,047007,2021-05-05,PROCEDURA APERTA,00361970478,COMUNE DI MARLIANA,SERVIZI FINANZIARI E AMMINISTRATIVI AFFARI GENERALI SERVIZI SOCIALI,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,certa
8599707EB4,,1,RIPETIZIONE LAVORI E SERVIZI PROGETTO SIPROIMI 2021/2023,RIPETIZIONE LAVORI E SERVIZI PROGETTO SIPROIMI 2021/2023,482785.5,482785.5,,,2021-05-24,PROCEDURA APERTA,85000890179,COMUNE DI CALVISANO,UFFICIO SEGRETERIA,98910000-5,SERVIZI SPECIFICI DI ORGANIZZAZIONI ED ENTI INTERNAZIONALI,0.0,,certa
8663473C13,,1,SERVIZIO PROGRAMMA TERRITORIALE ACCOGLIENZA INTEGRATA PER TITOLARI DI PERMESSO UMANITARIO SIPROIMI 2020/2022,SERVIZIO PROGRAMMA TERRITORIALE ACCOGLIENZA INTEGRATA PER TITOLARI DI PERMESSO UMANITARIO SIPROIMI 2020/2022,1076750.0,1076750.0,,089002,2021-05-05,PROCEDURA APERTA,00090570896,COMUNE DI AVOLA,SETTORE AUTONOMO SERVIZI SOCIALI,85310000-5,SERVIZI DI ASSISTENZA SOCIALE,0.0,,certa
87560221F0,,1,"APPROVAZIONE NUOVA DETERMINAZIONE A CONTRARRE PER L'AFFIDAMENTO DEL AFFIDAMENTO DEI SERVIZI FINALIZZATI ALL'ACCOGLIENZA NELLA RETE SISTEMA DI ACCOGLIENZA E INTEGRAZIONE (SAI EX SIPROIMI) PER IL TRIENNIO 2021 - 2023 CATEGORIA VULNERABILI PERSONE CON DISABILITÀ E/O CON DISAGIO MENTALE O PSICOLOGICO E/O CON NECESSITÀ DI ASSISTENZA SANITARIA, SOCIALE E DOMICILIARE, SPECIALISTICA E/O PROLUNGATA. CUP:C89G20000810001. APPROVAZIONE ATTI ED INDIZIONE PROCEDURA DI GARA. -",Oggetto non pubblicabile a causa della potenziale presenza di dati personali,746666.66,746666.66,,075035,2021-05-19,PROCEDURA APERTA,80008510754,COMUNE DI LECCE,SETTORE SERVIZI SOCIALI,85311200-4,SERVIZI DI ASSISTENZA SOCIALE PER DISABILI,0.0,,certa
