cig,cig_accordo_quadro,n_lotti_componenti,oggetto_gara,oggetto_lotto,importo_lotto,importo_complessivo_gara,provincia,luogo_istat,data_pubblicazione,tipo_scelta_contraente,cf_amministrazione_appaltante,denominazione_amministrazione_appaltante,denominazione_centro_costo,cod_cpv,descrizione_cpv,DURATA_PREVISTA,ESITO,confidenza
81084096C7,78026831B5,1,AFFIDAMENTO COOP. MAFALDA DEI SERVIZI DI ACCOGLIENZA DI CITTADINI STRANIERI RICHIEDENTI ASILO IN CENTRI COLLETTIVI FINO A 50 POSTI,AFFIDAMENTO DEI SERVIZI DI ACCOGLIENZADI CITTADINI STRANIERI RICHIEDENTI ASILO IN CENTRI COLLETTIVI FINO A 50 POSTI,176304.0,176304.0,,,2019-11-21,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80013260544,PREFETTURA DI PERUGIA,PREFETTURA - UTG PERUGIA,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,certa
8143793694,,1,SISTEMA DI PROTEZIONE PER RICHIEDENTI ASILO E RIFUGIATI (SPRAR) - DI MINORI-CASA DASILO TRIENNIO 2017-2019- PROSECUZIONE ACCOGLIENZA I^ SEMESTRE 2020 EX ART.8 COMMA 4 DEL DEC.MIN. 19A07582 GU N.284 DEL 4/12/19,SISTEMA DI PROTEZIONE PER RICHIEDENTI ASILO E RIFUGIATI (SPRAR) - DI MINORI-CASA DASILO TRIENNIO 2017-2019- PROSECUZIONE ACCOGLIENZA I^ SEMESTRE 2020 EX ART.8 COMMA 4 DEL DEC.MIN. 19A07582 GU N.284 DEL 4/12/19,43764.29,43764.29,PARMA,034027,2019-11-18,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,00162210348,COMUNE DI PARMA,SETTORE SOCIALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,180.0,AGGIUDICATA,certa
80819170E5,,5,AFFIDAMENTO DI UN SERVIZIO PER LA REALIZZAZIONE DI PERCORSI INFORMATIVI SULLA SALUTE RIPRODUTTIVA DELLA DONNA IMMIGRATA ANCHE IN FASE DI PRE E POST PARTO,REALIZZAZIONE DI PERCORSI INFORMATIVI SULLA SALUTE RIPRODUTTIVA DELLA DONNA IMMIGRATA ANCHE IN FASE DI PRE E POST PARTO NELL'AMBITO DEL PROGETTO IMPACT VENETO A. ULSS 5 (POLESANA) E 6 (EUGANEA),21845.17,98360.65,,,2019-11-15,PROCEDURA APERTA,80007580279,REGIONE VENETO,UNITA' ORGANIZZATIVA FLUSSI MIGRATORI,85320000-8,SERVIZI SOCIALI,0.0,,probabile
8101921CB4,,1,ACCOGLIENZA MINORI STRANIERI NON ACCOMPAGNATI-ISTITUTO SALESIANO BEARZI UDINE,Oggetto non pubblicabile a causa della potenziale presenza di dati personali,97020.0,97020.0,,032006,2019-11-05,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,00210240321,COMUNE DI TRIESTE,SERVIZIO SOCIALE COMUNALE,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,92.0,,certa
8205806D51,,1,"AGGIORNAMENTO ELENCO STRUTTURE SOCIALI AUTORIZZATE E ACCREDITATE (AI SENSI DELLA L.R. 22/2002, D.G.R. 84/2007 E D.G.R. 249/2019) CHE EROGANO SERVIZI DI ACCOGLIENZA RESIDENZIALE E SEMIRESIDENZIALE PER MINORI, MADRI CON MINORI E MSNA ",Oggetto non pubblicabile a causa della potenziale presenza di dati personali,20000.0,20000.0,VENEZIA,027042,2019-11-11,PROCEDURA APERTA,00516890241,COMUNE DI VICENZA,SERVIZI SOCIALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,365.0,AGGIUDICATA,certa
8045288DAC,7790422B99,1,CIG DERIVATO IN ADESIONE ACCORDO QUADRO ASSISTENZA MIGRANTI OTTOBRE 2019 SETTEMBRE 2020- GIOVANI E COMUNITÀ,CIG DERIVATO IN ADESIONE ACCORDO QUADRO ASSISTENZA MIGRANTI OTTOBRE 2019 SETTEMBRE 2020- GIOVANI E COMUNITÀ,234184.0,234184.0,,,2019-11-06,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,80003940451,PREFETTURA DI MASSA CARRARA UFFICIO TERRITORIALE DEL GOVERNO,SERVIZI GENERALI E ATTIVITA' CONTRATTUALE,85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,,AGGIUDICATA,probabile
8599206148,,1,"AGGIORNAMENTO ELENCO STRUTTURE SOCIALI AUTORIZZATE ED ACCREDITATE (LR 22/2002 E DGR 84/2007) CHE EROGANO SERVIZI DI ACCOGLIENZA RESIDENZIALE E SEMIRESIDENZIALE PER MINORI, MADRI CON MINORI E MSNA",Oggetto non pubblicabile a causa della potenziale presenza di dati personali,100000.0,100000.0,VICENZA,024116,2019-11-11,AFFIDAMENTO DIRETTO,00516890241,COMUNE DI VICENZA,SERVIZI SOCIALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,365.0,AGGIUDICATA,certa
8081890A9A,,5,AFFIDAMENTO DI UN SERVIZIO PER LA REALIZZAZIONE DI PERCORSI INFORMATIVI SULLA SALUTE RIPRODUTTIVA DELLA DONNA IMMIGRATA ANCHE IN FASE DI PRE E POST PARTO,REALIZZAZIONE DI PERCORSI INFORMATIVI SULLA SALUTE RIPRODUTTIVA DELLA DONNA IMMIGRATA ANCHE IN FASE DI PRE E POST PARTO NELL'AMBITO DEL PROGETTO IMPACT VENETO A. ULSS 3 (SERENISSIMA) E 4 (VENETO ORIENTALE),16116.25,98360.65,,,2019-11-15,PROCEDURA APERTA,80007580279,REGIONE VENETO,UNITA' ORGANIZZATIVA FLUSSI MIGRATORI,85320000-8,SERVIZI SOCIALI,0.0,,probabile
82057249A7,,1,"AGGIORNAMENTO ELENCO STRUTTURE SOCIALI AUTORIZZATE E ACCREDITATE (AI SENSI DELLA L.R. 22/2002, D.G.R. 84/2007 E D.G.R. 249/2019) CHE EROGANO SERVIZI DI ACCOGLIENZA RESIDENZIALE E SEMIRESIDENZIALE PER MINORI, MADRI CON MINORI E MSNA ",Oggetto non pubblicabile a causa della potenziale presenza di dati personali,10000.0,10000.0,VICENZA,024116,2019-11-11,PROCEDURA APERTA,00516890241,COMUNE DI VICENZA,SERVIZI SOCIALI,85311300-5,SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI,365.0,AGGIUDICATA,certa
8129007CC7,,1,AFFIDAMENTO SERVIZI DI ACCOGLIENZA RICHIEDENTI PROTEZIONE INTERNAZIONALE,AFFIDAMENTO SERVIZI DI ACCOGLIENZA RICHIEDENTI PROTEZIONE INTERNAZIONALE,52440.0,52440.0,,013075,2019-11-26,PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,80020320133,PREFETTURA DI COMO,UFFICIO TERRITORIALE DEL GOVERNO DI COMO,85320000-8,SERVIZI SOCIALI,180.0,,certa
8526236886,7285708470,1,LRIPETIZIONE SERVIZIO DI ACCOGLIENZA DESTINATO A N.72 MINORI STRANIERI NON ACCOMPAGNATI ORDINARI FINANZIATO DAL FONDO NAZIONALE PER LE POLITICHE E I SERVIZI DELL'ASILO (FNPSA) NELL'AMBITO DEL SISTEMA DI PROTEZIONE PER RICHIEDENTI ASILO E RIFUGIATI (SPRAR),Oggetto non pubblicabile a causa della potenziale presenza di dati personali,967599.36,967599.36,MILANO,015146,2019-11-19,AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,01199250158,COMUNE DI MILANO,AREA RESIDENZIALITA',85311000-2,SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO,0.0,AGGIUDICATA,certa
8081982687,,5,AFFIDAMENTO DI UN SERVIZIO PER LA REALIZZAZIONE DI PERCORSI INFORMATIVI SULLA SALUTE RIPRODUTTIVA DELLA DONNA IMMIGRATA ANCHE IN FASE DI PRE E POST PARTO,REALIZZAZIONE DI PERCORSI INFORMATIVI SULLA SALUTE RIPRODUTTIVA DELLA DONNA IMMIGRATA ANCHE IN FASE DI PRE E POST PARTO NELL'AMBITO DEL PROGETTO IMPACT VENETO A. ULSS 9 (SCALIGERA),17679.81,98360.65,,,2019-11-15,PROCEDURA APERTA,80007580279,REGIONE VENETO,UNITA' ORGANIZZATIVA FLUSSI MIGRATORI,85320000-8,SERVIZI SOCIALI,0.0,,probabile
81091255A4,,1,SERVIZIO DI INTERPRETARIATO IN CONSECUTIVA E DI SUPPORTO A SUPPORTO DELLA COMMISSIONE TERRITORIALE PER IL RICONOSCIMENTO DELLA PROTEZIONE INTERNAZIONALE SEZIONE DI LECCE ES. 2020,SERVIZIO DI INTERPRETARIATO IN CONSECUTIVA E DI SUPPORTO A SUPPORTO DELLA COMMISSIONE TERRITORIALE PER IL RICONOSCIMENTO DELLA PROTEZIONE INTERNAZIONALE SEZIONE DI LECCE ES. 2020,247500.0,247500.0,,,2019-11-26,PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,80009550759,PREFETTURA,SERVIZIO AMMINISTRAZIONE SERVIZI GENERALI E ATTIVITA CONTRATTUALE,75130000-6,SERVIZI DI SUPPORTO PER IL GOVERNO,365.0,AGGIUDICATA,certa
